event_id,sport_key,home_team,away_team,commence_time,snapshot_time,hours_before_game,num_bookmakers,h2h_home_mean,h2h_home_std,h2h_home_min,h2h_home_max,h2h_away_mean,h2h_away_std,h2h_draw_mean,implied_prob_home,implied_prob_away,implied_prob_draw,prob_home_fair,prob_away_fair,prob_draw_fair,overround,books_disagreement,spread_point,spread_price,total_line,total_price,day_of_week,month,year,hour_utc,is_weekend,home_is_fav,market_edge
01461c715fdcb8321ca3e4ed2762e436,baseball_mlb,Detroit Tigers,Kansas City Royals,2026-04-16 18:16:00+00:00,2026-04-16 18:59:53.170159+00:00,-0.73,40,1.432,0.1053,1.01,1.9,2.6695,0.2902,,0.6983,0.3746,,0.6509,0.3491,,0.0729,0.1053,-1.2580645161290323,1.9325806451612904,6.933333333333334,1.8796666666666666,3,4,2026,18,0,1,0.3018
1be686414809592c870949866675b3f0,baseball_mlb,Athletics,Texas Rangers,2026-04-16 19:06:00+00:00,2026-04-16 18:59:53.170159+00:00,0.1,62,1.9429,0.0322,1.87,2.0,1.8903,0.0371,,0.5147,0.529,,0.4931,0.5069,,0.0437,0.0322,1.4534883720930232,1.5734883720930235,8.19047619047619,2.100714285714286,3,4,2026,19,0,0,0.0138
25ef39bccec531e95be4427ad60576d2,baseball_mlb,New York Yankees,Los Angeles Angels,2026-04-16 17:36:00+00:00,2026-04-16 18:59:53.170159+00:00,-1.4,43,1.1951,0.0179,1.15,1.24,4.4347,0.2546,,0.8367,0.2255,,0.7877,0.2123,,0.0622,0.0179,-2.171875,1.8696875,10.5625,1.8,3,4,2026,17,0,1,0.5754
2813553c6a0cdab5c77497cf373aa7af,baseball_mlb,Houston Astros,Colorado Rockies,2026-04-17 00:11:00+00:00,2026-04-16 18:59:53.170159+00:00,5.19,62,1.591,0.0345,1.54,1.67,2.4113,0.0409,,0.6285,0.4147,,0.6025,0.3975,,0.0433,0.0345,-1.2209302325581395,2.1093023255813956,8.642857142857142,1.9683333333333333,4,4,2026,0,0,1,0.205
34fa181a3e06104ac8bb8d652bffbae7,baseball_mlb,San Diego Padres,Seattle Mariners,2026-04-17 00:41:00+00:00,2026-04-16 18:59:53.170159+00:00,5.69,62,2.0105,0.0256,1.94,2.06,1.8227,0.0381,,0.4974,0.5486,,0.4755,0.5245,,0.046,0.0256,1.3863636363636365,1.6572727272727272,8.642857142857142,2.0145238095238094,4,4,2026,0,0,0,0.049
3eb605c9b25ccc2ad16334a2f4a4c17e,baseball_mlb,Cleveland Guardians,Baltimore Orioles,2026-04-17 22:11:00+00:00,2026-04-16 18:59:53.170159+00:00,27.19,22,1.7395,0.0294,1.68,1.79,2.0786,0.0631,,0.5749,0.4811,,0.5444,0.4556,,0.0559,0.0294,-1.2083333333333333,2.4500000000000006,7.821428571428571,1.8678571428571427,4,4,2026,22,0,1,0.0888
45655eea8b0523564f56d5ba45520388,baseball_mlb,Chicago Cubs,New York Mets,2026-04-17 18:21:00+00:00,2026-04-16 18:59:53.170159+00:00,23.35,22,1.6891,0.046,1.58,1.77,2.1577,0.0466,,0.592,0.4635,,0.5609,0.4391,,0.0555,0.046,-1.45,2.2920000000000003,9.6,1.842,4,4,2026,18,0,1,0.1218
4dab71b3bef20d97c215141ed121a95b,baseball_mlb,Athletics,Chicago White Sox,2026-04-18 01:41:00+00:00,2026-04-16 18:59:53.170159+00:00,30.69,19,1.6505,0.0308,1.58,1.72,2.2305,0.066,,0.6059,0.4483,,0.5747,0.4253,,0.0542,0.0308,-1.4545454545454546,2.248181818181818,9.23076923076923,1.8976923076923078,5,4,2026,1,1,1,0.1494
50a6b335289549d2d3f41d9072e8d031,baseball_mlb,Cleveland Guardians,Baltimore Orioles,2026-04-16 22:11:00+00:00,2026-04-16 18:59:53.170159+00:00,3.19,62,1.7874,0.0294,1.73,1.85,2.0629,0.0365,,0.5595,0.4848,,0.5358,0.4642,,0.0442,0.0294,-1.0116279069767442,2.4206976744186046,8.166666666666666,2.051904761904762,3,4,2026,22,0,1,0.0716
58f0238587c37c6200e35bece1cdc6a2,baseball_mlb,Cincinnati Reds,San Francisco Giants,2026-04-16 16:43:00+00:00,2026-04-16 18:59:53.170159+00:00,-2.28,31,16.3368,3.9401,11.0,27.03,1.02,0.0106,,0.0612,0.9804,,0.0588,0.9412,,0.0416,3.9401,2.54,3.1620000000000004,3.6153846153846154,3.181923076923077,3,4,2026,16,0,0,0.8824
7067ff8b35400b4b9c0c1b2cf807fe58,baseball_mlb,Philadelphia Phillies,Atlanta Braves,2026-04-17 22:41:00+00:00,2026-04-16 18:59:53.170159+00:00,27.69,22,1.9118,0.0632,1.8,2.05,1.8795,0.0427,,0.5231,0.532,,0.4957,0.5043,,0.0551,0.0632,1.4583333333333333,1.5633333333333335,9.285714285714286,1.9428571428571426,4,4,2026,22,0,0,0.0086
72adcb72b594dcf90c1756f4f9358d4c,baseball_mlb,Washington Nationals,San Francisco Giants,2026-04-17 22:46:00+00:00,2026-04-16 18:59:53.170159+00:00,27.77,22,2.2777,0.0642,2.15,2.38,1.6227,0.0369,,0.439,0.6162,,0.416,0.584,,0.0553,0.0642,1.4583333333333333,1.7841666666666665,7.678571428571429,1.8299999999999998,4,4,2026,22,0,0,0.168
74f39156689a078022ede0ab999cd304,baseball_mlb,Pittsburgh Pirates,Washington Nationals,2026-04-16 16:40:00+00:00,2026-04-16 18:59:53.170159+00:00,-2.33,43,2.6337,0.2782,1.3,2.95,1.504,0.3011,,0.3797,0.6649,,0.3635,0.6365,,0.0446,0.2782,1.0714285714285714,1.7289285714285716,15.15,1.9526666666666668,3,4,2026,16,0,0,0.273
7e51baba35f9e72d4028c265cbceb500,baseball_mlb,Minnesota Twins,Cincinnati Reds,2026-04-18 00:11:00+00:00,2026-04-16 18:59:53.170159+00:00,29.19,21,1.5624,0.0353,1.5,1.63,2.3986,0.0655,,0.64,0.4169,,0.6056,0.3944,,0.057,0.0353,-1.4583333333333333,2.1458333333333335,7.785714285714286,1.874285714285714,5,4,2026,0,1,1,0.2112
99d0656dfdf7a804df87e510c4687f62,baseball_mlb,Chicago White Sox,Tampa Bay Rays,2026-04-16 18:11:00+00:00,2026-04-16 18:59:53.170159+00:00,-0.81,43,1.8444,0.082,1.73,2.1,1.9219,0.0794,,0.5422,0.5203,,0.5103,0.4897,,0.0625,0.082,0.625,1.7974999999999999,5.65625,1.8478125,3,4,2026,18,0,1,0.0206
a1ab635fdacdca4f7d8f471d141a873f,baseball_mlb,New York Yankees,Kansas City Royals,2026-04-17 23:06:00+00:00,2026-04-16 18:59:53.170159+00:00,28.1,21,1.5886,0.0294,1.54,1.67,2.3462,0.091,,0.6295,0.4262,,0.5963,0.4037,,0.0557,0.0294,-1.4583333333333333,2.205833333333333,8.321428571428571,1.9007142857142856,4,4,2026,23,0,1,0.1926
d28f023fdea4d8299ebf509d22707293,baseball_mlb,Milwaukee Brewers,Toronto Blue Jays,2026-04-16 17:41:00+00:00,2026-04-16 18:59:53.170159+00:00,-1.31,43,1.616,0.0518,1.55,1.8,2.257,0.0844,,0.6188,0.4431,,0.5827,0.4173,,0.0619,0.0518,-1.125,2.7259375,5.3125,1.996875,3,4,2026,17,0,1,0.1654
