event_id,sport_key,home_team,away_team,commence_time,snapshot_time,hours_before_game,num_bookmakers,h2h_home_mean,h2h_home_std,h2h_home_min,h2h_home_max,h2h_away_mean,h2h_away_std,h2h_draw_mean,implied_prob_home,implied_prob_away,implied_prob_draw,prob_home_fair,prob_away_fair,prob_draw_fair,overround,books_disagreement,spread_point,spread_price,total_line,total_price
00b17950d5713024cb3b011e56cb2f58,boxing_boxing,Jared Anderson,Solomon Dacres,2026-05-09 20:00:00+00:00,2026-04-16 18:59:58.257805+00:00,553.0,9,1.2089,0.1159,1.06,1.36,3.8111,0.2559,4.75,0.8272,0.2624,0.2105,0.6363,0.2018,0.1619,0.3001,0.1159,,,,
15a0009e7b283d8a6d5c20077e0f541d,boxing_boxing,Moses Itauma,Agit Kabayel,2026-12-31 22:59:00+00:00,2026-04-16 18:59:58.257805+00:00,6219.98,5,1.2,0.0,1.2,1.2,4.6,0.0,25.0,0.8333,0.2174,0.04,0.764,0.1993,0.0367,0.0907,0.0,,,,
1e0227472a95e01761a8f542fca9a44c,boxing_boxing,Aston Brown,Sam Gilley,2026-04-17 20:00:00+00:00,2026-04-16 18:59:58.257805+00:00,25.0,33,1.5333,0.0425,1.48,1.63,2.5567,0.0986,17.2955,0.6522,0.3911,0.0578,0.5923,0.3552,0.0525,0.1011,0.0425,,,7.7,1.826
1ed93073b06a6241b2682f46d00300c7,boxing_boxing,Fabio Wardley,Daniel Dubois,2026-05-09 21:00:00+00:00,2026-04-16 18:59:58.257805+00:00,554.0,35,1.8343,0.0684,1.66,1.97,1.9774,0.0698,18.8421,0.5452,0.5057,0.0531,0.4938,0.4581,0.0481,0.104,0.0684,,,9.0,1.96
2cb51e80aac7419da48b9553be6a5b10,boxing_boxing,Stephen Newns,Tariq Davis,2026-04-17 15:00:00+00:00,2026-04-16 18:59:58.257805+00:00,20.0,24,1.0175,0.0094,1.01,1.04,22.0875,6.5329,23.5263,0.9828,0.0453,0.0425,0.918,0.0423,0.0397,0.0706,0.0094,,,,
2df6e8a6f57d439628586c83c99de3bf,boxing_boxing,Natalie Dove,Maria Micheo Santizo,2026-04-18 00:00:00+00:00,2026-04-16 18:59:58.257805+00:00,29.0,26,1.1496,0.026,1.11,1.19,5.645,0.3962,19.1875,0.8699,0.1771,0.0521,0.7914,0.1612,0.0474,0.0991,0.026,,,,
30ef422e4011f94920c5ab5ebf5323c7,boxing_boxing,Anthony Joshua,Tyson Fury,2026-12-31 22:55:00+00:00,2026-04-16 18:59:58.257805+00:00,6219.92,7,2.2286,0.1306,2.16,2.5,1.6843,0.0627,17.4286,0.4487,0.5937,0.0574,0.408,0.5398,0.0522,0.0998,0.1306,,,,
3b172e81ff41223076448391b5a63f55,boxing_boxing,Tom Rafferty,Pablo Sosa,2026-04-18 15:00:00+00:00,2026-04-16 18:59:58.257805+00:00,44.0,21,1.0405,0.0166,1.02,1.06,12.8095,1.3367,22.6923,0.9611,0.0781,0.0441,0.8872,0.0721,0.0407,0.0832,0.0166,,,,
434d3d2fbdbedf10e455c635a432fc48,boxing_boxing,Oscar Duarte Jurado,Angel Fierro,2026-05-03 01:00:00+00:00,2026-04-16 18:59:58.257805+00:00,390.0,7,1.1214,0.0204,1.1,1.14,4.2514,3.0378,4.5225,0.8917,0.2352,0.2211,0.6615,0.1745,0.164,0.3481,0.0204,,,,
4b4498a728157c8892606ec278c76269,boxing_boxing,Alex Arthur Jr,Owen Kirk,2026-04-17 16:50:00+00:00,2026-04-16 18:59:58.257805+00:00,21.83,24,1.0425,0.0167,1.02,1.06,13.85,2.963,21.7895,0.9592,0.0722,0.0459,0.8904,0.067,0.0426,0.0773,0.0167,,,,
