event_id,home_score,away_score,total_points,home_win,away_win,draw,score_diff
02cd436c4433adc651fc51ef06898b6d,6.0,2.0,8.0,1,0,0,4.0
3e0abbe52fa5655dea933eae959c06da,7.0,5.0,12.0,1,0,0,2.0
3f7ae1ea8cc82f1934f0db4da52eb8cb,6.0,3.0,9.0,1,0,0,3.0
472be2fa83d65418ccd23cfe75d5ae49,2.0,3.0,5.0,0,1,0,-1.0
543fd68bbc58d6300577c48ced1fe675,1.0,5.0,6.0,0,1,0,-4.0
63a04dd550f7203005f749be9394826c,1.0,2.0,3.0,0,1,0,-1.0
71a2a22f2aeb6a68b093f9d31ffe835a,3.0,2.0,5.0,1,0,0,1.0
7b0380f27550cb8fe448fe638e0f94e1,4.0,3.0,7.0,1,0,0,1.0
7c23e65aed95672326f5b51d78a18746,5.0,6.0,11.0,0,1,0,-1.0
7db68d6db2127f93ee8278eca727ff32,2.0,4.0,6.0,0,1,0,-2.0
7fec03ec7dd616e297e93e176f87b761,4.0,2.0,6.0,1,0,0,2.0
95e2cb9751126776827294c1530f4823,4.0,1.0,5.0,1,0,0,3.0
a4e642bde213d01b2ee7c67659ab1b7f,3.0,5.0,8.0,0,1,0,-2.0
aab12987f6385f068a9b1c6feb785ecc,8.0,1.0,9.0,1,0,0,7.0
b051baa705c134e97ed62acc5754d71a,1.0,3.0,4.0,0,1,0,-2.0
c36f011df8ff2ff994bb46373c5831ea,3.0,4.0,7.0,0,1,0,-1.0
c5183f20670c0165bbc80f9c43145e9c,1.0,2.0,3.0,0,1,0,-1.0
c6dc2eb7ca9bcce1e2735b4673fc88b1,5.0,2.0,7.0,1,0,0,3.0
d1584d51876615dbdd70d6b5f29ea77d,1.0,2.0,3.0,0,1,0,-1.0
d98f95763dabfa28c6fbe9b9cbb5d5fb,3.0,2.0,5.0,1,0,0,1.0
ecf6c5f973a42e5dcd559cd2ac2e0d3a,3.0,1.0,4.0,1,0,0,2.0
eddd0daf23e8cb700d1bf764bab4e4d6,5.0,3.0,8.0,1,0,0,2.0
efd342f9176c794b9effd595260264d0,3.0,2.0,5.0,1,0,0,1.0
f85edd1853a7f222a98966be1584348d,4.0,3.0,7.0,1,0,0,1.0
fe7dc6268aa33b2db407b7fc8225779d,4.0,0.0,4.0,1,0,0,4.0
