event_id,sport_key,home_team,away_team,commence_time,snapshot_time,hours_before_game,num_bookmakers,h2h_home_mean,h2h_home_std,h2h_home_min,h2h_home_max,h2h_away_mean,h2h_away_std,h2h_draw_mean,implied_prob_home,implied_prob_away,implied_prob_draw,prob_home_fair,prob_away_fair,prob_draw_fair,overround,books_disagreement,spread_point,spread_price,total_line,total_price
0068bfd36cef60b3e373c762b5b6338a,mma_mixed_martial_arts,Nate Diaz,Mike Perry,2026-05-17 00:00:00+00:00,2026-04-16 19:00:12.074208+00:00,725.0,3,2.8,0.0866,2.7,2.85,1.4333,0.0577,,0.3571,0.6977,,0.3386,0.6614,,0.0548,0.0866,,,,
06c9c3849afe25288db25090e3131a81,mma_mixed_martial_arts,Rhys McKee,Alex Lohore,2026-04-16 23:40:00+00:00,2026-04-16 19:00:12.074208+00:00,4.66,12,1.2742,0.0235,1.24,1.29,3.6958,0.323,,0.7848,0.2706,,0.7436,0.2564,,0.0554,0.0235,,,2.5,2.1
0bd0e7a2a24f93428c501abb10ea20c6,mma_mixed_martial_arts,Caolan Loughran,Alan Philpott,2026-04-16 20:40:00+00:00,2026-04-16 19:00:12.074208+00:00,1.66,12,1.0383,0.0164,1.01,1.05,12.5417,3.5513,,0.9631,0.0797,,0.9235,0.0765,,0.0428,0.0164,,,1.5,1.95
0f58e635269943a54aed9d0b3a6a1f8a,mma_mixed_martial_arts,Taner Trembley,Elijah Johns,2026-04-18 01:00:00+00:00,2026-04-16 19:00:12.074208+00:00,30.0,6,1.5667,0.0121,1.56,1.59,2.2833,0.0816,,0.6383,0.438,,0.5931,0.4069,,0.0763,0.0121,,,1.5,1.59
1866287434085fb2fb4a2da3f44c312b,mma_mixed_martial_arts,Ernesto Ibarra,Devon Lozej,2026-04-18 01:00:00+00:00,2026-04-16 19:00:12.074208+00:00,30.0,6,1.795,0.0367,1.78,1.87,1.9333,0.0082,,0.5571,0.5172,,0.5186,0.4814,,0.0743,0.0367,,,2.5,1.62
1976a9195475f1efe57d2c1a3a85c019,mma_mixed_martial_arts,Joshua Van,Tatsuro Taira,2026-05-10 04:00:00+00:00,2026-04-16 19:00:12.074208+00:00,561.0,5,2.62,0.0735,2.5,2.7,1.5,0.0367,,0.3817,0.6667,,0.3641,0.6359,,0.0483,0.0735,,,,
19ca8e004497e4608fd49d98d6c55c7b,mma_mixed_martial_arts,David Martinez,Giannis Bachar,2026-04-16 20:10:00+00:00,2026-04-16 19:00:12.074208+00:00,1.16,12,1.25,0.0154,1.22,1.26,3.8333,0.3512,,0.8,0.2609,,0.7541,0.2459,,0.0609,0.0154,,,1.5,1.57
1b275b79bdfb54ec649b1c4a1cd01b60,mma_mixed_martial_arts,Francis Ngannou,Philipe Lins,2026-05-17 00:00:00+00:00,2026-04-16 19:00:12.074208+00:00,725.0,5,1.054,0.0219,1.03,1.07,10.2,1.6432,,0.9488,0.098,,0.9063,0.0937,,0.0468,0.0219,,,,
1c122070dfeca191db21e4179557ecd6,mma_mixed_martial_arts,Thiago Moises,Gauge Young,2026-04-18 22:00:00+00:00,2026-04-16 19:00:12.074208+00:00,51.0,40,2.1413,0.0657,2.1,2.3,1.714,0.0322,50.0,0.467,0.5834,0.02,0.4363,0.545,0.0187,0.0704,0.0657,3.5,1.57,2.5,1.548
1e972b73d422aa4cadb9185ca87c3c93,mma_mixed_martial_arts,Alex Pereira,Ciryl Gane,2026-06-15 02:30:00+00:00,2026-04-16 19:00:12.074208+00:00,1423.5,32,1.9006,0.0472,1.8,1.99,1.8188,0.2596,33.0,0.5261,0.5498,0.0303,0.4756,0.497,0.0274,0.1063,0.0472,,,2.5,1.8
1fce50aab79c1981a30a2072bddb6c36,mma_mixed_martial_arts,Ciaran Clarke,Dean Garnett,2026-04-16 21:10:00+00:00,2026-04-16 19:00:12.074208+00:00,2.16,12,1.4433,0.0231,1.42,1.49,2.6908,0.103,,0.6928,0.3716,,0.6509,0.3491,,0.0645,0.0231,,,2.5,1.47
20d0d02349fe04d63631b1e3f1879fa3,mma_mixed_martial_arts,Sean O'Malley,Aiemann Zahabi,2026-06-15 02:00:00+00:00,2026-04-16 19:00:12.074208+00:00,1423.0,30,1.2337,0.0161,1.2,1.26,4.1227,0.1848,33.0,0.8106,0.2426,0.0303,0.7482,0.2239,0.028,0.0835,0.0161,,,2.5,1.45
