event_id,sport_key,home_team,away_team,commence_time,snapshot_time,hours_before_game,num_bookmakers,h2h_home_mean,h2h_home_std,h2h_home_min,h2h_home_max,h2h_away_mean,h2h_away_std,h2h_draw_mean,implied_prob_home,implied_prob_away,implied_prob_draw,prob_home_fair,prob_away_fair,prob_draw_fair,overround,books_disagreement,spread_point,spread_price,total_line,total_price,day_of_week,month,year,hour_utc,is_weekend,home_is_fav,market_edge
17986e8ad1e0da42074d6aca9511ea6d,soccer_argentina_primera_division,Banfield,Independiente Rivadavia,2026-04-20 20:15:00+00:00,2026-04-16 19:00:11.613136+00:00,97.25,35,2.9286,0.1593,2.6,3.27,2.5277,0.1259,2.9063,0.3415,0.3956,0.3441,0.3158,0.3659,0.3183,0.0812,0.1593,0.1,1.9280000000000002,2.3181818181818183,2.1754545454545453,0,4,2026,20,0,0,0.0501
1cfa4c72ac047e31bae36d4fdab95951,soccer_argentina_primera_division,Racing Club,Barracas Central,2026-04-25 00:30:00+00:00,2026-04-16 19:00:11.613136+00:00,197.5,6,1.3717,0.0319,1.33,1.4,8.5,0.0,4.2583,0.729,0.1176,0.2348,0.6741,0.1088,0.2171,0.0815,0.0319,,,2.5,2.1,5,4,2026,0,1,1,0.5653
29d20ae02f53a206f4d445e796e13a5b,soccer_argentina_primera_division,River Plate,Aldosivi Mar del Plata,2026-04-26 00:30:00+00:00,2026-04-16 19:00:11.613136+00:00,221.5,6,1.2883,0.0293,1.25,1.32,10.75,0.2739,4.7833,0.7762,0.093,0.2091,0.7198,0.0863,0.1939,0.0783,0.0293,,,2.5,1.97,6,4,2026,0,1,1,0.6335
48504b972ab1848ecffb5f9ab8e53a85,soccer_argentina_primera_division,Estudiantes de Río Cuarto,Rosario Central,2026-04-24 22:15:00+00:00,2026-04-16 19:00:11.613136+00:00,195.25,6,4.075,0.1084,3.95,4.2,1.9883,0.0504,3.0167,0.2454,0.5029,0.3315,0.2273,0.4658,0.307,0.0798,0.1084,,,1.5,1.5233333333333334,4,4,2026,22,0,0,0.2385
528783c145f87a8a874574f057d0c879,soccer_argentina_primera_division,Independiente Rivadavia,Gimnasia Mendoza,2026-04-26 18:00:00+00:00,2026-04-16 19:00:11.613136+00:00,239.0,6,1.8183,0.0392,1.77,1.86,4.475,0.1084,3.2583,0.55,0.2235,0.3069,0.5091,0.2068,0.2841,0.0803,0.0392,,,2.5,2.43,6,4,2026,18,1,1,0.3023
6c2a2bdcecfff3ab08f5d05ac25c1eff,soccer_argentina_primera_division,Defensa y Justicia,Boca Juniors,2026-04-23 23:00:00+00:00,2026-04-16 19:00:11.613136+00:00,172.0,6,3.0917,0.0665,3.0,3.15,2.3433,0.0557,3.0417,0.3235,0.4267,0.3288,0.2998,0.3955,0.3047,0.079,0.0665,,,2.5,2.3699999999999997,3,4,2026,23,0,0,0.0957
7dbbc857759f0a9fd234245627beffdd,soccer_argentina_primera_division,CA Tigre BA,Atlético Huracán,2026-04-21 00:45:00+00:00,2026-04-16 19:00:11.613136+00:00,101.75,34,2.3426,0.1052,2.14,2.46,3.3915,0.169,2.7835,0.4269,0.2949,0.3593,0.3949,0.2728,0.3323,0.081,0.1052,-0.2,1.9519999999999995,1.75,1.9572727272727273,1,4,2026,0,0,1,0.1221
8517aeacfc57d6db19920bb67be44c6b,soccer_argentina_primera_division,Lanus,Central Córdoba,2026-04-24 22:15:00+00:00,2026-04-16 19:00:11.613136+00:00,195.25,6,1.7417,0.0387,1.7,1.78,5.1583,0.1068,3.1917,0.5742,0.1939,0.3133,0.531,0.1793,0.2897,0.0813,0.0387,,,1.5,1.49,4,4,2026,22,0,1,0.3517
8bfdf57d7272974513e55c0b7ea7c4eb,soccer_argentina_primera_division,River Plate,Boca Juniors,2026-04-19 20:00:00+00:00,2026-04-16 19:00:11.613136+00:00,73.0,38,2.1079,0.067,1.96,2.23,3.5745,0.1632,3.0055,0.4744,0.2798,0.3327,0.4365,0.2574,0.3061,0.0869,0.067,-0.4166666666666667,2.2133333333333334,1.8333333333333333,1.8316666666666668,6,4,2026,20,1,1,0.1791
8ea879f584c49c5c1c7b83daab2b1568,soccer_argentina_primera_division,Gimnasia La Plata,Estudiantes de Río Cuarto,2026-04-18 18:00:00+00:00,2026-04-16 19:00:11.613136+00:00,47.0,38,1.8424,0.04,1.76,1.91,4.675,0.327,3.1571,0.5428,0.2139,0.3167,0.5057,0.1993,0.2951,0.0734,0.04,-0.59375,2.03375,1.9230769230769231,1.9446153846153846,5,4,2026,18,1,1,0.3064
