event_id,sport_key,home_team,away_team,commence_time,snapshot_time,hours_before_game,num_bookmakers,h2h_home_mean,h2h_home_std,h2h_home_min,h2h_home_max,h2h_away_mean,h2h_away_std,h2h_draw_mean,implied_prob_home,implied_prob_away,implied_prob_draw,prob_home_fair,prob_away_fair,prob_draw_fair,overround,books_disagreement,spread_point,spread_price,total_line,total_price
187c578ce8d890dd5b9b3cbdcb2fa3e2,soccer_austria_bundesliga,Grazer AK,Ried,2026-04-17 17:30:00+00:00,2026-04-16 19:00:14.455356+00:00,22.5,49,2.6649,0.1085,2.45,2.84,2.599,0.117,3.0429,0.3752,0.3848,0.3286,0.3447,0.3534,0.3019,0.0887,0.1085,0.0625,2.1900000000000004,2.4404761904761907,2.065714285714286
1cd6a2e373dca05bcf3a264d1ae6ec52,soccer_austria_bundesliga,FC Blau-Weiß Linz,Wolfsberger AC,2026-04-21 16:30:00+00:00,2026-04-16 19:00:14.455356+00:00,117.5,40,2.2965,0.3978,1.04,2.63,2.5165,0.4415,3.0945,0.4354,0.3974,0.3232,0.3767,0.3438,0.2796,0.156,0.3978,-0.5833333333333334,2.793333333333333,2.5,1.836875
588561d655748d55987e20d5ac90aeee,soccer_austria_bundesliga,LASK,Sturm Graz,2026-04-19 15:00:00+00:00,2026-04-16 19:00:14.455356+00:00,68.0,47,2.1404,0.0765,1.96,2.31,3.0504,0.1564,3.3649,0.4672,0.3278,0.2972,0.4278,0.3001,0.2721,0.0922,0.0765,-0.5,2.4099999999999997,2.5375,1.7525
6419c6a89f4363a638ed3355c50e3760,soccer_austria_bundesliga,Rheindorf Altach,WSG Tirol,2026-04-21 16:30:00+00:00,2026-04-16 19:00:14.455356+00:00,117.5,41,2.051,0.3004,1.04,2.25,2.9946,0.5645,2.9739,0.4876,0.3339,0.3363,0.4211,0.2884,0.2904,0.1578,0.3004,-0.5833333333333334,2.5366666666666666,2.5,2.05
7dac1dba9b9e0594dea3566bc2aae2dc,soccer_austria_bundesliga,WSG Tirol,Rheindorf Altach,2026-04-18 15:00:00+00:00,2026-04-16 19:00:14.455356+00:00,44.0,47,2.3868,0.1186,2.2,2.55,2.8655,0.177,3.11,0.419,0.349,0.3215,0.3846,0.3203,0.2951,0.0895,0.1186,-0.42857142857142855,2.5828571428571427,2.4625,2.0355
9cb51db4c427ca1a2670d918fdf68507,soccer_austria_bundesliga,Wolfsberger AC,FC Blau-Weiß Linz,2026-04-18 15:00:00+00:00,2026-04-16 19:00:14.455356+00:00,44.0,47,2.2562,0.0952,2.08,2.42,2.916,0.1263,3.2883,0.4432,0.3429,0.3041,0.4065,0.3145,0.2789,0.0903,0.0952,-0.6,2.8459999999999996,2.525,1.8845000000000003
a0bf90482d2c45b5da5c4b51c81a87e4,soccer_austria_bundesliga,Ried,Grazer AK,2026-04-21 18:30:00+00:00,2026-04-16 19:00:14.455356+00:00,119.5,41,2.0659,0.3097,1.04,2.3,3.0268,0.5824,2.9237,0.4841,0.3304,0.342,0.4186,0.2857,0.2958,0.1565,0.3097,-0.5833333333333334,2.4966666666666666,2.5,2.075625
a35cb076c401c6783622e292cb86184a,soccer_austria_bundesliga,Rapid Wien,Hartberg,2026-04-22 16:30:00+00:00,2026-04-16 19:00:14.455356+00:00,141.5,35,1.6274,0.2076,1.04,1.81,4.1351,1.0626,3.3134,0.6145,0.2418,0.3018,0.5306,0.2088,0.2606,0.1581,0.2076,-1.125,2.275,2.5,1.7076923076923076
b50f35cfa99a87dac6be87e36b9c067a,soccer_austria_bundesliga,RB Salzburg,Austria Wien,2026-04-22 16:30:00+00:00,2026-04-16 19:00:14.455356+00:00,141.5,36,1.5758,0.172,1.04,1.68,4.2167,1.0005,3.5272,0.6346,0.2372,0.2835,0.5493,0.2053,0.2454,0.1552,0.172,-1.125,2.17,2.5,1.59
b92ea230d0e618fafc6e67ae439fd202,soccer_austria_bundesliga,Austria Wien,RB Salzburg,2026-04-19 12:30:00+00:00,2026-04-16 19:00:14.455356+00:00,65.5,46,3.1924,0.1584,2.88,3.5,2.0117,0.0553,3.5024,0.3132,0.4971,0.2855,0.2858,0.4536,0.2605,0.0958,0.1584,0.6428571428571429,1.78,2.5875,1.7214999999999996
c671bb03dd66d03163e5bf9f121a900e,soccer_austria_bundesliga,Hartberg,Rapid Wien,2026-04-19 12:30:00+00:00,2026-04-16 19:00:14.455356+00:00,65.5,46,3.2957,0.2029,2.9,3.64,2.0728,0.0866,3.1961,0.3034,0.4824,0.3129,0.2762,0.4391,0.2848,0.0987,0.2029,0.5,1.8985714285714288,2.4625,1.9735
f0d929f54b11b78897efdafbdbe608d1,soccer_austria_bundesliga,Sturm Graz,LASK,2026-04-22 18:30:00+00:00,2026-04-16 19:00:14.455356+00:00,143.5,36,2.1642,0.3786,1.04,2.48,2.6133,0.5008,3.1653,0.4621,0.3827,0.3159,0.3981,0.3297,0.2722,0.1607,0.3786,-0.125,1.785,2.5,1.7146153846153849
