event_id,sport_key,home_team,away_team,commence_time,snapshot_time,hours_before_game,num_bookmakers,h2h_home_mean,h2h_home_std,h2h_home_min,h2h_home_max,h2h_away_mean,h2h_away_std,h2h_draw_mean,implied_prob_home,implied_prob_away,implied_prob_draw,prob_home_fair,prob_away_fair,prob_draw_fair,overround,books_disagreement,spread_point,spread_price,total_line,total_price
05555a58cbe4c04ac9136dfd419d2fd7,soccer_belgium_first_div,Union Saint-Gilloise,Club Brugge,2026-04-19 16:30:00+00:00,2026-04-16 19:00:14.095667+00:00,69.5,52,2.2185,0.0697,2.05,2.35,3.0015,0.1229,3.2208,0.4508,0.3332,0.3105,0.4119,0.3044,0.2837,0.0944,0.0697,-0.5,2.4857142857142853,2.522727272727273,1.8386363636363634
06f18bbb38f884281ee3b96bf1ecc8a4,soccer_belgium_first_div,SV Zulte-Waregem,RAAL La Louvière,2026-04-26 17:15:00+00:00,2026-04-16 19:00:14.095667+00:00,238.25,13,2.0146,0.0373,1.95,2.06,3.5115,0.065,3.3808,0.4964,0.2848,0.2958,0.4609,0.2644,0.2747,0.0769,0.0373,,,2.5,1.826
07990ad8041518a9040c2d1eacde47cf,soccer_belgium_first_div,Cercle Brugge KSV,Dender,2026-04-24 18:45:00+00:00,2026-04-16 19:00:14.095667+00:00,191.75,13,1.56,0.0255,1.52,1.6,5.1846,0.1028,4.1077,0.641,0.1929,0.2434,0.595,0.179,0.226,0.0773,0.0255,,,2.5,1.5899999999999999
11a045d34def4e22a46f2e38f0880b88,soccer_belgium_first_div,Genk,Charleroi,2026-04-21 18:30:00+00:00,2026-04-16 19:00:14.095667+00:00,119.5,17,1.8582,0.0555,1.74,1.94,3.5153,0.1562,3.7394,0.5381,0.2845,0.2674,0.4937,0.261,0.2453,0.09,0.0555,0.0,1.48,2.5,1.554
30b0602ac8e9b1de3131918209fdc30d,soccer_belgium_first_div,Union Saint-Gilloise,Gent,2026-04-22 18:30:00+00:00,2026-04-16 19:00:14.095667+00:00,143.5,17,1.4406,0.0452,1.34,1.49,6.21,0.3359,4.3029,0.6942,0.161,0.2324,0.6383,0.1481,0.2137,0.0876,0.0452,0.0,1.15,2.5,1.657
3ab0dcefb8c6f1aeb43ef911d7f6a6ad,soccer_belgium_first_div,Anderlecht,Union Saint-Gilloise,2026-04-26 16:30:00+00:00,2026-04-16 19:00:14.095667+00:00,237.5,13,3.6231,0.0665,3.5,3.7,1.9923,0.0394,3.3462,0.276,0.5019,0.2989,0.2563,0.4661,0.2775,0.0768,0.0665,,,2.5,1.972
54ec5f0ce0e1ab8e4bc20ac399736364,soccer_belgium_first_div,Standard Liege,Royal Antwerp,2026-04-21 18:30:00+00:00,2026-04-16 19:00:14.095667+00:00,119.5,18,2.2044,0.073,2.05,2.33,3.0439,0.1277,3.2428,0.4536,0.3285,0.3084,0.416,0.3013,0.2828,0.0905,0.073,0.0,1.68,2.5,2.0149999999999997
605cdd8b0421d866fc82ac163c154fc7,soccer_belgium_first_div,Genk,Standard Liege,2026-04-25 16:15:00+00:00,2026-04-16 19:00:14.095667+00:00,213.25,13,1.5923,0.0303,1.54,1.63,5.1308,0.0925,3.9692,0.628,0.1949,0.2519,0.5843,0.1813,0.2344,0.0749,0.0303,,,2.5,1.6409999999999996
6d571dc995426901f7af65ceba7f2e51,soccer_belgium_first_div,Gent,Club Brugge,2026-04-26 11:30:00+00:00,2026-04-16 19:00:14.095667+00:00,232.5,13,4.5231,0.0832,4.4,4.6,1.61,0.0306,4.25,0.2211,0.6211,0.2353,0.2052,0.5764,0.2184,0.0775,0.0832,,,3.5,2.043
78323e148b3de2be80a96621c27f5b9b,soccer_belgium_first_div,Sint Truiden,Anderlecht,2026-04-23 18:30:00+00:00,2026-04-16 19:00:14.095667+00:00,167.5,16,1.965,0.0495,1.86,2.04,3.2281,0.177,3.6656,0.5089,0.3098,0.2728,0.4662,0.2838,0.2499,0.0915,0.0495,,,2.5,1.5390000000000001
931a214ef2a9b45eb4baeef6ed7cae62,soccer_belgium_first_div,Leuven,Charleroi,2026-04-25 14:00:00+00:00,2026-04-16 19:00:14.095667+00:00,211.0,13,2.8438,0.0525,2.75,2.9,2.3415,0.0443,3.3577,0.3516,0.4271,0.2978,0.3266,0.3967,0.2767,0.0765,0.0525,,,2.5,1.7510000000000001
99d487892eff03678e045062750dec78,soccer_belgium_first_div,Westerlo,Royal Antwerp,2026-04-25 18:45:00+00:00,2026-04-16 19:00:14.095667+00:00,215.75,13,1.9754,0.0357,1.92,2.02,3.4115,0.065,3.6,0.5062,0.2931,0.2778,0.47,0.2721,0.2579,0.0771,0.0357,,,2.5,1.6280000000000001
a84e4d79a0afde7a1843a3c99dafda7e,soccer_belgium_first_div,RAAL La Louvière,SV Zulte-Waregem,2026-04-19 17:15:00+00:00,2026-04-16 19:00:14.095667+00:00,70.25,49,2.4706,0.0844,2.3,2.62,2.6198,0.1044,3.3637,0.4048,0.3817,0.2973,0.3735,0.3522,0.2743,0.0838,0.0844,-0.4166666666666667,2.7283333333333335,2.5,1.8679999999999997
a94ec6a1b23c03661701b197dcd2d7ba,soccer_belgium_first_div,Gent,Sint Truiden,2026-04-19 11:30:00+00:00,2026-04-16 19:00:14.095667+00:00,64.5,51,2.5286,0.1124,2.3,2.72,2.5102,0.0832,3.4808,0.3955,0.3984,0.2873,0.3658,0.3685,0.2657,0.0811,0.1124,0.3125,1.7650000000000001,2.5875,1.6895
b410fb7ac3cfcd019a6c8a9f13e4fdfa,soccer_belgium_first_div,Royal Antwerp,Leuven,2026-04-18 14:00:00+00:00,2026-04-16 19:00:14.095667+00:00,43.0,50,2.1762,0.0619,2.0,2.25,3.1276,0.1148,3.3176,0.4595,0.3197,0.3014,0.4252,0.2959,0.2789,0.0807,0.0619,-0.6,2.556,2.5,1.8829999999999998
d0bffdc5f71a2c4ff69cd438210b534b,soccer_belgium_first_div,KV Mechelen,Anderlecht,2026-04-18 18:45:00+00:00,2026-04-16 19:00:14.095667+00:00,47.75,50,2.7806,0.0981,2.5,2.9,2.3162,0.0589,3.4414,0.3596,0.4317,0.2906,0.3324,0.399,0.2686,0.082,0.0981,0.6,1.6179999999999999,2.5434782608695654,1.7278260869565218
d528b317d2525b9dcfa8f397e7d88af5,soccer_belgium_first_div,Leuven,Westerlo,2026-04-21 18:30:00+00:00,2026-04-16 19:00:14.095667+00:00,119.5,18,2.18,0.0666,2.05,2.33,2.9056,0.1489,3.4917,0.4587,0.3442,0.2864,0.4211,0.316,0.2629,0.0893,0.0666,0.0,1.72,2.5,1.658
d810477b5032aa26661839f2cebbda8e,soccer_belgium_first_div,Charleroi,Standard Liege,2026-04-18 16:15:00+00:00,2026-04-16 19:00:14.095667+00:00,45.25,52,1.805,0.0437,1.67,1.85,4.139,0.1502,3.4967,0.554,0.2416,0.286,0.5122,0.2234,0.2644,0.0816,0.0437,-0.5277777777777778,1.9366666666666665,2.5,1.9118181818181816
dea6a48511207d95308e7dbb17af017b,soccer_belgium_first_div,Club Brugge,KV Mechelen,2026-04-22 18:30:00+00:00,2026-04-16 19:00:14.095667+00:00,143.5,17,1.2041,0.0253,1.16,1.25,10.3971,1.1217,6.2276,0.8305,0.0962,0.1606,0.7638,0.0885,0.1477,0.0872,0.0253,0.0,1.08,3.5,1.8130000000000002
e8e17742d6ae733ea9a32edabde56a34,soccer_belgium_first_div,Westerlo,Genk,2026-04-18 16:15:00+00:00,2026-04-16 19:00:14.095667+00:00,45.25,52,2.631,0.0854,2.4,2.75,2.3617,0.072,3.6021,0.3801,0.4234,0.2776,0.3516,0.3916,0.2568,0.0811,0.0854,0.4444444444444444,1.6811111111111112,3.0681818181818183,1.9659090909090906
f50c8092d1f4bae432272d398e9d8d08,soccer_belgium_first_div,KV Mechelen,Sint Truiden,2026-04-26 14:00:00+00:00,2026-04-16 19:00:14.095667+00:00,235.0,13,3.1615,0.065,3.05,3.25,2.0762,0.034,3.6,0.3163,0.4817,0.2778,0.294,0.4477,0.2582,0.0757,0.065,,,2.5,1.5899999999999999
fc96ec30f3e006928debbde4788cf094,soccer_belgium_first_div,Dender,Cercle Brugge KSV,2026-04-19 14:00:00+00:00,2026-04-16 19:00:14.095667+00:00,67.0,51,3.3204,0.1558,2.95,3.65,2.0112,0.0608,3.5224,0.3012,0.4972,0.2839,0.2783,0.4594,0.2623,0.0823,0.1558,0.5625,1.86875,2.5,1.7526315789473685
