event_id,sport_key,home_team,away_team,commence_time,snapshot_time,hours_before_game,num_bookmakers,h2h_home_mean,h2h_home_std,h2h_home_min,h2h_home_max,h2h_away_mean,h2h_away_std,h2h_draw_mean,implied_prob_home,implied_prob_away,implied_prob_draw,prob_home_fair,prob_away_fair,prob_draw_fair,overround,books_disagreement,spread_point,spread_price,total_line,total_price,day_of_week,month,year,hour_utc,is_weekend,home_is_fav,market_edge
1859d4cd418c529cc9aa6c0dd7b0986f,soccer_brazil_serie_b,Londrina,Ceará,2026-04-19 19:00:00+00:00,2026-04-16 19:00:13.948826+00:00,72.0,33,2.6603,0.064,2.52,2.78,2.6533,0.0913,2.9597,0.3759,0.3769,0.3379,0.3447,0.3456,0.3098,0.0907,0.064,0.5,1.584,2.4411764705882355,2.2282352941176473,6,4,2026,19,1,0,0.0009
2d78d4ce49ae6e6bf1f18a989167c01e,soccer_brazil_serie_b,Goiás,Cuiabá,2026-04-19 21:00:00+00:00,2026-04-16 19:00:13.948826+00:00,74.0,38,1.6776,0.0292,1.62,1.72,4.8758,0.2475,3.3811,0.5961,0.2051,0.2958,0.5434,0.187,0.2696,0.0969,0.0292,-1.0833333333333333,2.4233333333333333,2.4558823529411766,2.124705882352941,6,4,2026,21,1,1,0.3564
3217d6d161b6d49a9a8a8b42eeeb240d,soccer_brazil_serie_b,Botafogo,Atletico Goianiense,2026-04-19 19:00:00+00:00,2026-04-16 19:00:13.948826+00:00,72.0,37,2.2259,0.0656,2.1,2.37,3.1303,0.148,3.0886,0.4492,0.3195,0.3238,0.4112,0.2924,0.2964,0.0925,0.0656,-0.6875,2.9725,2.425,2.1184999999999996,6,4,2026,19,1,1,0.1188
3c961eee1fcc62c5ca059ca1e43bdc89,soccer_brazil_serie_b,Grêmio Novorizontino,Athletic Club (MG),2026-04-19 23:00:00+00:00,2026-04-16 19:00:13.948826+00:00,76.0,40,1.6865,0.0358,1.62,1.75,4.7963,0.3005,3.433,0.5929,0.2085,0.2913,0.5426,0.1908,0.2666,0.0927,0.0358,-0.8928571428571429,2.2028571428571433,2.4523809523809526,2.043333333333333,6,4,2026,23,1,1,0.3518
45c9c9bf38b249e17e5864d001b6c425,soccer_brazil_serie_b,Clube de Regatas Brasil,Juventude,2026-04-18 23:45:00+00:00,2026-04-16 19:00:13.948826+00:00,52.75,40,1.9318,0.0852,1.77,2.05,3.7493,0.3033,3.2693,0.5177,0.2667,0.3059,0.4748,0.2446,0.2806,0.0903,0.0852,-0.75,2.473333333333333,2.45,2.0174999999999996,5,4,2026,23,1,1,0.2302
5701e8d97603b4413936a3bae8a5c766,soccer_brazil_serie_b,Nautico PE,São Bernardo,2026-04-18 21:00:00+00:00,2026-04-16 19:00:13.948826+00:00,50.0,29,1.7007,0.0298,1.62,1.75,4.8228,0.1767,3.4134,0.588,0.2074,0.293,0.5403,0.1905,0.2692,0.0883,0.0298,-0.9375,2.2025,2.4411764705882355,2.1282352941176472,5,4,2026,21,1,1,0.3498
7863a37e7920f418cbe83588de8354d1,soccer_brazil_serie_b,América Mineiro,Sport Recife,2026-04-18 21:00:00+00:00,2026-04-16 19:00:13.948826+00:00,50.0,40,2.3772,0.0782,2.23,2.5,2.9102,0.1243,3.054,0.4207,0.3436,0.3274,0.3853,0.3147,0.2999,0.0917,0.0782,-0.375,2.6616666666666666,2.4444444444444446,2.0733333333333337,5,4,2026,21,1,1,0.0706
82b2eaa020b204c430c967b6e5f6b844,soccer_brazil_serie_b,Avai,Ponte Preta,2026-04-18 23:30:00+00:00,2026-04-16 19:00:13.948826+00:00,52.5,41,1.7256,0.0294,1.65,1.77,4.5746,0.2059,3.39,0.5795,0.2186,0.295,0.5302,0.2,0.2699,0.0931,0.0294,-1.0714285714285714,2.501428571428572,2.4545454545454546,2.066363636363637,5,4,2026,23,1,1,0.3302
98201f7d3f913a28e4c5ddd0bc76243d,soccer_brazil_serie_b,Fortaleza,Criciuma,2026-04-19 23:00:00+00:00,2026-04-16 19:00:13.948826+00:00,76.0,41,1.9163,0.0633,1.79,2.0,3.9598,0.2734,3.1607,0.5218,0.2525,0.3164,0.4784,0.2315,0.2901,0.0908,0.0633,-0.5714285714285714,2.2257142857142855,2.4047619047619047,2.188095238095238,6,4,2026,23,1,1,0.2469
e2a2eadddc2f48be629e8152d1c83ab4,soccer_brazil_serie_b,Vila Nova,Operario PR,2026-04-18 21:30:00+00:00,2026-04-16 19:00:13.948826+00:00,50.5,42,2.2602,0.0584,2.08,2.35,3.1919,0.1028,2.9671,0.4424,0.3133,0.337,0.4049,0.2867,0.3084,0.0927,0.0584,-0.5416666666666666,2.6783333333333332,2.1904761904761907,2.1552380952380954,5,4,2026,21,1,1,0.1182
