event_id,sport_key,home_team,away_team,commence_time,snapshot_time,hours_before_game,num_bookmakers,h2h_home_mean,h2h_home_std,h2h_home_min,h2h_home_max,h2h_away_mean,h2h_away_std,h2h_draw_mean,implied_prob_home,implied_prob_away,implied_prob_draw,prob_home_fair,prob_away_fair,prob_draw_fair,overround,books_disagreement,spread_point,spread_price,total_line,total_price,day_of_week,month,year,hour_utc,is_weekend,home_is_fav,market_edge
11320b9dee58d3ab303afb42c48b899d,soccer_conmebol_copa_libertadores,Palmeiras-SP,Sporting Cristal,2026-04-16 22:00:00+00:00,2026-04-16 19:00:16.671558+00:00,3.0,46,1.1707,0.0196,1.12,1.2,14.8646,2.2793,6.715,0.8542,0.0673,0.1489,0.798,0.0628,0.1391,0.0704,0.0196,-1.8333333333333333,1.8633333333333333,2.6447368421052633,1.7131578947368424,3,4,2026,22,0,1,0.7352
3d5e68dc3158686257fc19c59078a611,soccer_conmebol_copa_libertadores,Independiente Medellín,Cusco FC,2026-05-01 02:00:00+00:00,2026-04-16 19:00:16.671558+00:00,343.0,23,1.48,0.0509,1.36,1.55,5.6122,0.3693,4.2452,0.6757,0.1782,0.2356,0.6202,0.1636,0.2162,0.0894,0.0509,-1.375,2.1950000000000003,2.5,1.6090909090909091,4,5,2026,2,0,1,0.4566
4a177e2bec4410c1b28bd4fe742a10c1,soccer_conmebol_copa_libertadores,Corinthians-SP,Peñarol Montevideo,2026-05-01 00:00:00+00:00,2026-04-16 19:00:16.671558+00:00,341.0,24,1.5558,0.0741,1.39,1.65,5.8575,0.3372,3.6058,0.6427,0.1707,0.2773,0.5892,0.1565,0.2542,0.0908,0.0741,-1.25,2.3449999999999998,2.5,2.356363636363636,4,5,2026,0,0,1,0.4327
541791945936f8e6f19593941d30986d,soccer_conmebol_copa_libertadores,Estudiantes La Plata,Flamengo-RJ,2026-04-30 00:30:00+00:00,2026-04-16 19:00:16.671558+00:00,317.5,24,3.4758,0.1448,3.1,3.7,2.1204,0.0692,3.0117,0.2877,0.4716,0.332,0.2636,0.4321,0.3042,0.0913,0.1448,0.125,2.205,1.7727272727272727,1.8036363636363637,3,4,2026,0,0,0,0.1685
59b70cf163deb25f29e8836e5bf58fcd,soccer_conmebol_copa_libertadores,Cruzeiro,Boca Juniors,2026-04-29 00:30:00+00:00,2026-04-16 19:00:16.671558+00:00,293.5,26,1.8481,0.0593,1.73,1.92,4.0523,0.2408,3.2288,0.5411,0.2468,0.3097,0.493,0.2248,0.2822,0.0976,0.0593,-0.25,1.585,2.5,2.3245454545454547,2,4,2026,0,0,1,0.2682
5a4404b9bbe5ccebac517501852598f7,soccer_conmebol_copa_libertadores,Cerro Porteño,Palmeiras-SP,2026-04-30 00:30:00+00:00,2026-04-16 19:00:16.671558+00:00,317.5,24,4.6117,0.2769,4.1,4.93,1.7783,0.0578,3.1971,0.2168,0.5623,0.3128,0.1986,0.515,0.2864,0.092,0.2769,1.0,1.635,2.5,2.211818181818182,3,4,2026,0,0,0,0.3164
6d1a31f587e0151f8346ce2afd3c9cf6,soccer_conmebol_copa_libertadores,Independiente Rivadavia,Deportivo La Guaira,2026-04-30 22:00:00+00:00,2026-04-16 19:00:16.671558+00:00,339.0,24,1.4971,0.0385,1.42,1.55,5.745,0.5043,3.9738,0.668,0.1741,0.2517,0.6107,0.1592,0.2301,0.0937,0.0385,-1.25,2.275,2.5,2.2818181818181817,3,4,2026,22,0,1,0.4515
73f2ac11ab8998e87f696dbe42a6609e,soccer_conmebol_copa_libertadores,Barcelona SC,Universidad Católica (CHI),2026-04-30 00:00:00+00:00,2026-04-16 19:00:16.671558+00:00,317.0,23,2.0674,0.0661,1.91,2.15,3.3917,0.1348,3.1739,0.4837,0.2948,0.3151,0.4423,0.2696,0.2881,0.0936,0.0661,-0.125,1.6400000000000001,2.5,2.1681818181818184,3,4,2026,0,0,1,0.1727
81ab5e5fe151d6e98be59c6c923a039b,soccer_conmebol_copa_libertadores,UCV FC,Rosario Central,2026-04-29 00:00:00+00:00,2026-04-16 19:00:16.671558+00:00,293.0,22,4.3695,0.1877,4.0,4.6,1.7618,0.0507,3.3445,0.2289,0.5676,0.299,0.2089,0.5181,0.2729,0.0954,0.1877,0.5,2.0,2.5,2.1260000000000003,2,4,2026,0,0,0,0.3092
99fc76e0c1f994aca0c781c054bb700f,soccer_conmebol_copa_libertadores,Sporting Cristal,Junior FC,2026-04-29 02:00:00+00:00,2026-04-16 19:00:16.671558+00:00,295.0,25,2.8368,0.1095,2.55,3.02,2.406,0.078,3.0668,0.3525,0.4156,0.3261,0.3222,0.3798,0.298,0.0942,0.1095,0.0,2.06,2.5,2.1254545454545455,2,4,2026,2,0,0,0.0576
