event_id,sport_key,home_team,away_team,commence_time,snapshot_time,hours_before_game,num_bookmakers,h2h_home_mean,h2h_home_std,h2h_home_min,h2h_home_max,h2h_away_mean,h2h_away_std,h2h_draw_mean,implied_prob_home,implied_prob_away,implied_prob_draw,prob_home_fair,prob_away_fair,prob_draw_fair,overround,books_disagreement,spread_point,spread_price,total_line,total_price
07e32b2721615ed8a42e011cc0ede220,soccer_denmark_superliga,Vejle Boldklub,Silkeborg IF,2026-04-22 16:00:00+00:00,2026-04-16 19:00:18.165610+00:00,140.99,19,2.2279,0.0924,2.05,2.31,2.7411,0.0927,3.5363,0.4489,0.3648,0.2828,0.4094,0.3327,0.2579,0.0965,0.0924,0.0,1.69,2.5,1.5370000000000001
1a6c48225095b85e670f414a72662f28,soccer_denmark_superliga,Vejle Boldklub,FC Copenhagen,2026-04-19 16:00:00+00:00,2026-04-16 19:00:18.165610+00:00,68.99,53,4.9917,0.2902,4.2,5.5,1.5451,0.037,4.1549,0.2003,0.6472,0.2407,0.1841,0.5947,0.2212,0.0882,0.2902,1.0,1.905555555555556,2.608695652173913,1.6334782608695655
2312c0243dfb51ef2003f34c9db47998,soccer_denmark_superliga,FC Nordsjaelland,Viborg FF,2026-04-19 14:00:00+00:00,2026-04-16 19:00:18.165610+00:00,66.99,53,2.1087,0.0613,1.95,2.21,2.9013,0.0885,3.5757,0.4742,0.3447,0.2797,0.4317,0.3137,0.2546,0.0986,0.0613,-0.5,2.2925,3.261904761904762,2.067142857142857
2768199f9dc9660a26222e71d9ab72df,soccer_denmark_superliga,SonderjyskE,Brondby IF,2026-04-26 14:00:00+00:00,2026-04-16 19:00:18.165610+00:00,234.99,13,2.7523,0.0515,2.63,2.8,2.3154,0.0459,3.4769,0.3633,0.4319,0.2876,0.3355,0.3989,0.2656,0.0828,0.0515,,,2.5,1.64
2bd81ce466fcf93e8270d5523a1e649a,soccer_denmark_superliga,Viborg FF,FC Nordsjaelland,2026-04-26 16:00:00+00:00,2026-04-16 19:00:18.165610+00:00,236.99,13,2.1908,0.0475,2.08,2.23,2.8077,0.0607,3.7346,0.4565,0.3562,0.2678,0.4225,0.3297,0.2478,0.0804,0.0475,,,3.5,2.1719999999999997
31da2a19155a3268a4e3e653cc213a5f,soccer_denmark_superliga,Viborg FF,Brondby IF,2026-04-22 18:00:00+00:00,2026-04-16 19:00:18.165610+00:00,142.99,19,2.2389,0.0781,2.1,2.35,2.7832,0.1147,3.4521,0.4466,0.3593,0.2897,0.4077,0.3279,0.2644,0.0956,0.0781,0.0,1.71,2.5,1.629
3bcfae772e15ab12398d9ceac31f3b87,soccer_denmark_superliga,FC Nordsjaelland,AGF Aarhus,2026-04-23 16:00:00+00:00,2026-04-16 19:00:18.165610+00:00,164.99,18,2.9144,0.1588,2.55,3.05,2.0978,0.0634,3.5928,0.3431,0.4767,0.2783,0.3125,0.4341,0.2535,0.0981,0.1588,0.0,2.17,2.5,1.5380000000000003
49a17d4b94bb1b76ea037b712d02d50a,soccer_denmark_superliga,FC Copenhagen,OB Odense BK,2026-04-22 16:00:00+00:00,2026-04-16 19:00:18.165610+00:00,140.99,19,1.6284,0.0505,1.54,1.7,4.3426,0.2272,3.9737,0.6141,0.2303,0.2517,0.5603,0.2101,0.2296,0.096,0.0505,0.0,1.29,3.5,2.153
4fea7714e22a03185696eb849b6c7fa0,soccer_denmark_superliga,AGF Aarhus,FC Midtjylland,2026-04-26 18:00:00+00:00,2026-04-16 19:00:18.165610+00:00,238.99,13,2.3608,0.0463,2.25,2.4,2.6538,0.0477,3.5462,0.4236,0.3768,0.282,0.3913,0.3481,0.2605,0.0824,0.0463,,,2.5,1.589
5ab70500b14c32ec320daceeaae287a7,soccer_denmark_superliga,Silkeborg IF,FC Fredericia,2026-04-19 12:00:00+00:00,2026-04-16 19:00:18.165610+00:00,64.99,55,1.9565,0.145,1.39,2.05,3.1864,0.1072,3.6553,0.5111,0.3138,0.2736,0.4653,0.2857,0.249,0.0985,0.145,-0.6428571428571429,2.2757142857142854,3.260869565217391,2.0408695652173914
