event_id,sport_key,home_team,away_team,commence_time,snapshot_time,hours_before_game,num_bookmakers,h2h_home_mean,h2h_home_std,h2h_home_min,h2h_home_max,h2h_away_mean,h2h_away_std,h2h_draw_mean,implied_prob_home,implied_prob_away,implied_prob_draw,prob_home_fair,prob_away_fair,prob_draw_fair,overround,books_disagreement,spread_point,spread_price,total_line,total_price,day_of_week,month,year,hour_utc,is_weekend,home_is_fav,market_edge
05752bb341e197001387b64f3a06b9b2,soccer_fifa_world_cup,Ivory Coast,Ecuador,2026-06-14 23:00:00+00:00,2026-04-16 19:00:27.070507+00:00,1419.99,51,3.2716,0.1431,2.9,3.52,2.3271,0.0868,2.9735,0.3057,0.4297,0.3363,0.2852,0.401,0.3138,0.0717,0.1431,0.3,1.8160000000000003,2.380952380952381,2.3271428571428565,6,6,2026,23,1,0,0.1158
065b3573e875f8d23803357f73e5b99e,soccer_fifa_world_cup,USA,Australia,2026-06-19 19:00:00+00:00,2026-04-16 19:00:27.070507+00:00,1535.99,13,1.5346,0.0575,1.42,1.6,4.7015,1.9617,3.7962,0.6516,0.2127,0.2634,0.5778,0.1886,0.2336,0.1277,0.0575,,,,,4,6,2026,19,0,1,0.3892
22083e7a8e5362c711bc05c1e1319a1f,soccer_fifa_world_cup,Uzbekistan,Colombia,2026-06-18 02:00:00+00:00,2026-04-16 19:00:27.070507+00:00,1494.99,49,7.44,0.6342,5.7,8.6,1.3898,0.0329,4.6157,0.1344,0.7195,0.2167,0.1255,0.6721,0.2024,0.0706,0.6342,1.25,1.8820000000000001,2.5,1.7765,3,6,2026,2,0,0,0.5466
25161cf6cf0cd9be17ae2e7e224a1f45,soccer_fifa_world_cup,Austria,Jordan,2026-06-16 04:00:00+00:00,2026-04-16 19:00:27.070507+00:00,1448.99,50,1.3464,0.0188,1.3,1.39,7.7054,0.9102,5.136,0.7427,0.1298,0.1947,0.696,0.1216,0.1824,0.0672,0.0188,-1.45,1.924,2.5833333333333335,1.6761904761904762,1,6,2026,4,0,1,0.5744
26634922d3f78c146440816023e40de8,soccer_fifa_world_cup,Qatar,Switzerland,2026-06-12 18:00:00+00:00,2026-04-16 19:00:27.070507+00:00,1366.99,54,9.652,1.3922,8.0,13.0,1.2867,0.025,5.39,0.1036,0.7772,0.1855,0.0972,0.7289,0.174,0.0663,1.3922,1.5,1.982,2.5454545454545454,1.6586363636363635,4,6,2026,18,0,0,0.6317
32ec06abda2398ac41501c86eb9aa376,soccer_fifa_world_cup,Netherlands,Japan,2026-06-14 20:00:00+00:00,2026-04-16 19:00:27.070507+00:00,1416.99,52,1.9931,0.0357,1.87,2.05,3.5131,0.1291,3.541,0.5017,0.2847,0.2824,0.4694,0.2663,0.2642,0.0688,0.0357,-0.35,1.814,2.5,1.8695238095238098,6,6,2026,20,1,1,0.2031
384cbb5d76b535896a24fe65f93cfac8,soccer_fifa_world_cup,South Korea,Czech Republic,2026-06-12 02:00:00+00:00,2026-04-16 19:00:27.070507+00:00,1350.99,52,2.6454,0.075,2.4,2.8,2.6867,0.1145,3.1306,0.378,0.3722,0.3194,0.3534,0.348,0.2986,0.0696,0.075,0.0,1.9100000000000001,2.4523809523809526,2.147142857142857,4,6,2026,2,0,1,0.0054
4d4f2b9b78182b557d4fbf8dcf4f4af2,soccer_fifa_world_cup,Iraq,Norway,2026-06-16 22:00:00+00:00,2026-04-16 19:00:27.070507+00:00,1466.99,48,8.4435,1.2678,6.75,11.0,1.345,0.0412,5.001,0.1184,0.7435,0.2,0.1115,0.7002,0.1883,0.0619,1.2678,1.5,1.9099999999999997,2.575,1.7084999999999997,1,6,2026,22,0,0,0.5887
564084f52cc9f1abcc18187c168a7cdc,soccer_fifa_world_cup,Australia,Turkey,2026-06-14 04:00:00+00:00,2026-04-16 19:00:27.070507+00:00,1400.99,49,4.358,0.4401,3.4,5.0,1.8045,0.0862,3.4867,0.2295,0.5542,0.2868,0.2144,0.5177,0.2679,0.0704,0.4401,0.45,2.128,2.473684210526316,2.0405263157894735,6,6,2026,4,1,0,0.3033
5ae41a06735c926eeb7f74006933adce,soccer_fifa_world_cup,Haiti,Scotland,2026-06-14 01:00:00+00:00,2026-04-16 19:00:27.070507+00:00,1397.99,54,6.8437,0.5952,5.75,8.25,1.3994,0.0251,4.7915,0.1461,0.7146,0.2087,0.1366,0.6682,0.1952,0.0694,0.5952,1.4,1.766,2.522727272727273,1.7722727272727274,6,6,2026,1,1,0,0.5316
64b91c5f2db61c7358a4f05459e83c52,soccer_fifa_world_cup,Saudi Arabia,Uruguay,2026-06-15 22:00:00+00:00,2026-04-16 19:00:27.070507+00:00,1442.99,53,5.7021,0.3659,5.0,6.5,1.5617,0.04,3.9825,0.1754,0.6403,0.2511,0.1644,0.6002,0.2354,0.0668,0.3659,1.0,1.834,2.5,1.935454545454545,0,6,2026,22,0,0,0.4358
67ae5751c401a98409b8566ae4897069,soccer_fifa_world_cup,Colombia,Portugal,2026-06-27 23:30:00+00:00,2026-04-16 19:00:27.070507+00:00,1732.49,15,3.0333,0.1291,3.0,3.5,2.2107,0.1523,3.1133,0.3297,0.4524,0.3212,0.2988,0.41,0.2911,0.1032,0.1291,,,2.5,1.6654545454545455,5,6,2026,23,1,0,0.1112
689096c8cd7e2753b9fec95321943c5d,soccer_fifa_world_cup,England,Croatia,2026-06-17 20:00:00+00:00,2026-04-16 19:00:27.070507+00:00,1488.99,50,1.658,0.0306,1.58,1.73,4.809,0.2433,3.9018,0.6031,0.2079,0.2563,0.5651,0.1948,0.2401,0.0674,0.0306,-0.8,1.9419999999999997,2.5,1.8575,2,6,2026,20,0,1,0.3703
