event_id,sport_key,home_team,away_team,commence_time,snapshot_time,hours_before_game,num_bookmakers,h2h_home_mean,h2h_home_std,h2h_home_min,h2h_home_max,h2h_away_mean,h2h_away_std,h2h_draw_mean,implied_prob_home,implied_prob_away,implied_prob_draw,prob_home_fair,prob_away_fair,prob_draw_fair,overround,books_disagreement,spread_point,spread_price,total_line,total_price
3fc165f9b4531c59263d965cbfebd6b7,soccer_france_ligue_one,Brest,RC Lens,2026-04-24 18:45:00+00:00,2026-04-16 19:00:29.167312+00:00,191.74,41,4.2722,0.176,3.9,4.5,1.7417,0.0386,3.8056,0.2341,0.5741,0.2628,0.2186,0.5361,0.2454,0.071,0.176,1.125,1.6075,2.526315789473684,1.7073684210526319
44f3850c674a5c86de98512df1f7b33f,soccer_france_ligue_one,Nantes,Brest,2026-04-19 15:15:00+00:00,2026-04-16 19:00:29.167312+00:00,68.24,62,2.3485,0.0617,2.25,2.48,3.0445,0.0908,3.25,0.4258,0.3285,0.3077,0.401,0.3093,0.2897,0.0619,0.0617,-0.4722222222222222,2.5344444444444445,2.4537037037037037,2.044074074074074
4a59d2e85b04c8fede5bfe10e8806fc6,soccer_france_ligue_one,Paris Saint Germain,Nantes,2026-04-22 17:00:00+00:00,2026-04-16 19:00:29.167312+00:00,141.99,42,1.1752,0.0235,1.13,1.22,13.3555,1.5841,7.3195,0.8509,0.0749,0.1366,0.8009,0.0705,0.1286,0.0624,0.0235,-2.2142857142857144,2.02,3.45,1.7675
59534dfb4696032a00bfc20754769c2a,soccer_france_ligue_one,Paris Saint Germain,Lyon,2026-04-19 18:45:00+00:00,2026-04-16 19:00:29.167312+00:00,71.74,62,1.289,0.0233,1.24,1.33,8.9685,0.7298,5.7844,0.7758,0.1115,0.1729,0.7318,0.1052,0.1631,0.0602,0.0233,-1.6388888888888888,1.921111111111111,3.3365384615384617,1.9376923076923076
6575e2a2e9cba1a58157427fe0e50ea1,soccer_france_ligue_one,Le Havre,Metz,2026-04-26 15:15:00+00:00,2026-04-16 19:00:29.167312+00:00,236.24,39,1.8782,0.0362,1.81,1.95,3.9728,0.1379,3.4223,0.5324,0.2517,0.2922,0.4947,0.2339,0.2715,0.0763,0.0362,-0.625,2.1374999999999997,2.5,1.9736842105263157
6856b3123aaf14ce6c63669005568ba1,soccer_france_ligue_one,RC Lens,Toulouse,2026-04-17 18:45:00+00:00,2026-04-16 19:00:29.167312+00:00,23.74,62,1.531,0.0278,1.47,1.58,5.814,0.2957,4.261,0.6532,0.172,0.2347,0.6163,0.1623,0.2214,0.0599,0.0278,-1.15,2.0509999999999997,2.537037037037037,1.7248148148148148
6ebae1fd21f8e4d2994714478848fb51,soccer_france_ligue_one,Rennes,Nantes,2026-04-26 15:15:00+00:00,2026-04-16 19:00:29.167312+00:00,236.24,39,1.4646,0.0334,1.4,1.53,6.201,0.3448,4.3579,0.6828,0.1613,0.2295,0.636,0.1502,0.2138,0.0735,0.0334,-1.25,2.0825,2.526315789473684,1.6400000000000001
93e8cd6fa52b18f41be1ac82f43ab87d,soccer_france_ligue_one,Toulouse,AS Monaco,2026-04-25 19:05:00+00:00,2026-04-16 19:00:29.167312+00:00,216.08,39,2.9433,0.1047,2.75,3.1,2.2395,0.0607,3.4623,0.3398,0.4465,0.2888,0.316,0.4153,0.2686,0.0751,0.1047,0.5,1.77,2.526315789473684,1.7452631578947366
9cde4ad2722581146fc4b359a6b36314,soccer_france_ligue_one,Marseille,Nice,2026-04-26 18:45:00+00:00,2026-04-16 19:00:29.167312+00:00,239.74,39,1.4821,0.0381,1.37,1.55,5.6279,0.2891,4.5167,0.6747,0.1777,0.2214,0.6284,0.1655,0.2062,0.0738,0.0381,-1.25,2.07,3.3157894736842106,2.04
9e279d3e6e661791862286e452987aef,soccer_france_ligue_one,Strasbourg,Rennes,2026-04-19 15:15:00+00:00,2026-04-16 19:00:29.167312+00:00,68.24,62,2.4976,0.0839,2.38,2.72,2.5731,0.0704,3.6748,0.4004,0.3886,0.2721,0.3773,0.3662,0.2564,0.0611,0.0839,-0.3,2.4839999999999995,2.564814814814815,1.7200000000000002
