event_id,sport_key,home_team,away_team,commence_time,snapshot_time,hours_before_game,num_bookmakers,h2h_home_mean,h2h_home_std,h2h_home_min,h2h_home_max,h2h_away_mean,h2h_away_std,h2h_draw_mean,implied_prob_home,implied_prob_away,implied_prob_draw,prob_home_fair,prob_away_fair,prob_draw_fair,overround,books_disagreement,spread_point,spread_price,total_line,total_price
12ea6b540ca92cfb666ee8e9f96b8867,soccer_germany_bundesliga,Werder Bremen,Hamburger SV,2026-04-18 13:30:00+00:00,2026-04-16 19:00:28.893329+00:00,42.49,64,1.9819,0.0406,1.91,2.06,3.5838,0.1601,3.6156,0.5046,0.279,0.2766,0.4759,0.2632,0.2609,0.0602,0.0406,-0.6,2.212,2.54,1.7408
1908516a04a209fca0792dfd0aa2cb75,soccer_germany_bundesliga,Augsburg,Eintracht Frankfurt,2026-04-25 13:30:00+00:00,2026-04-16 19:00:28.893329+00:00,210.49,49,2.2012,0.3022,1.06,2.43,2.6922,0.4311,3.4788,0.4543,0.3714,0.2875,0.4081,0.3337,0.2582,0.1132,0.3022,-0.4166666666666667,2.3116666666666665,3.261904761904762,2.1295238095238096
437258088240d908dba723538fc02d87,soccer_germany_bundesliga,1. FC Heidenheim,FC St. Pauli,2026-04-25 13:30:00+00:00,2026-04-16 19:00:28.893329+00:00,210.49,49,2.4892,0.0752,2.3,2.64,2.7857,0.0922,3.2284,0.4017,0.359,0.3098,0.3753,0.3353,0.2894,0.0705,0.0752,-0.25,2.3400000000000003,2.5,1.9595238095238094
523dda96c45d6c24fc4854013aeb912c,soccer_germany_bundesliga,1. FC Köln,Bayer Leverkusen,2026-04-25 13:30:00+00:00,2026-04-16 19:00:28.893329+00:00,210.49,47,3.9289,0.1337,3.6,4.21,1.7811,0.042,3.9655,0.2545,0.5615,0.2522,0.2383,0.5256,0.2361,0.0682,0.1337,1.0,1.6783333333333335,3.3421052631578947,2.1410526315789475
5d060a6bc6d73ff3baf1b6befb592076,soccer_germany_bundesliga,TSG Hoffenheim,Borussia Dortmund,2026-04-18 13:30:00+00:00,2026-04-16 19:00:28.893329+00:00,42.49,64,2.5808,0.0738,2.38,2.7,2.4333,0.0631,3.7994,0.3875,0.411,0.2632,0.365,0.3871,0.2479,0.0616,0.0738,0.3,1.7919999999999998,3.3,2.0612
5d7ceb9c77d5adba56d67fe4cd1a17ea,soccer_germany_bundesliga,Borussia Dortmund,SC Freiburg,2026-04-26 15:30:00+00:00,2026-04-16 19:00:28.893329+00:00,236.49,46,1.4689,0.0309,1.4,1.53,5.8885,0.542,4.5083,0.6808,0.1698,0.2218,0.6348,0.1584,0.2068,0.0724,0.0309,-1.3333333333333333,2.1116666666666664,3.3421052631578947,2.214736842105263
63101c7b193e6ee432ce3b2e1c686a75,soccer_germany_bundesliga,FSV Mainz 05,Bayern Munich,2026-04-25 13:30:00+00:00,2026-04-16 19:00:28.893329+00:00,210.49,47,5.654,0.4478,4.5,6.4,1.4579,0.0407,4.9617,0.1769,0.6859,0.2015,0.1662,0.6445,0.1894,0.0643,0.4478,1.3333333333333333,1.808333333333333,3.357142857142857,1.768095238095238
681c82154abc25a4e884697a59dc37ed,soccer_germany_bundesliga,Bayern Munich,VfB Stuttgart,2026-04-19 15:30:00+00:00,2026-04-16 19:00:28.893329+00:00,68.49,64,1.3852,0.0386,1.29,1.45,6.4275,0.5209,5.4509,0.7219,0.1556,0.1835,0.6804,0.1466,0.1729,0.061,0.0386,-1.5,1.988,3.48,1.6467999999999998
6d912b02658b54e9d50e7b37a4587155,soccer_germany_bundesliga,SC Freiburg,1. FC Heidenheim,2026-04-19 13:30:00+00:00,2026-04-16 19:00:28.893329+00:00,66.49,64,1.6623,0.0383,1.6,1.76,4.6745,0.1849,4.083,0.6016,0.2139,0.2449,0.5673,0.2017,0.231,0.0604,0.0383,-0.975,2.121,2.62,1.7020000000000002
6eb4d0ea8406f8edf5046e34ba3671e7,soccer_germany_bundesliga,Borussia Monchengladbach,FSV Mainz 05,2026-04-19 17:30:00+00:00,2026-04-16 19:00:28.893329+00:00,70.49,64,2.3883,0.066,2.25,2.5,2.8438,0.091,3.4295,0.4187,0.3516,0.2916,0.3943,0.3311,0.2746,0.0619,0.066,-0.375,2.4379999999999997,2.5,1.850769230769231
8e0a3736b06bce73da2581f75e2cf194,soccer_germany_bundesliga,Eintracht Frankfurt,RB Leipzig,2026-04-18 16:30:00+00:00,2026-04-16 19:00:28.893329+00:00,45.49,64,3.3747,0.1244,3.1,3.6,1.9641,0.0516,3.9283,0.2963,0.5091,0.2546,0.2795,0.4803,0.2401,0.06,0.1244,0.6,1.834,3.3461538461538463,2.006538461538461
b104ec3a106ddc5715a4da26d894567f,soccer_germany_bundesliga,VfB Stuttgart,Werder Bremen,2026-04-26 13:30:00+00:00,2026-04-16 19:00:28.893329+00:00,234.49,48,1.5712,0.0454,1.47,1.67,5.3385,0.4836,4.1385,0.6364,0.1873,0.2416,0.5974,0.1758,0.2268,0.0654,0.0454,-1.1666666666666667,2.0816666666666666,3.3095238095238093,1.9238095238095234
b5a6981b2a16f2cac6de83db44efcead,soccer_germany_bundesliga,Union Berlin,VfL Wolfsburg,2026-04-18 13:30:00+00:00,2026-04-16 19:00:28.893329+00:00,42.49,64,2.1408,0.0461,2.05,2.23,3.2297,0.0886,3.5222,0.4671,0.3096,0.2839,0.4404,0.2919,0.2677,0.0607,0.0461,-0.475,2.255,2.5,1.8376923076923077
