event_id,sport_key,home_team,away_team,commence_time,snapshot_time,hours_before_game,num_bookmakers,h2h_home_mean,h2h_home_std,h2h_home_min,h2h_home_max,h2h_away_mean,h2h_away_std,h2h_draw_mean,implied_prob_home,implied_prob_away,implied_prob_draw,prob_home_fair,prob_away_fair,prob_draw_fair,overround,books_disagreement,spread_point,spread_price,total_line,total_price
01ab85ab77b314f7e3b6d49225819cad,soccer_germany_liga3,SC Verl,FC Viktoria Köln 1904,2026-04-18 12:00:00+00:00,2026-04-16 19:00:26.712749+00:00,40.99,37,1.6238,0.0391,1.53,1.68,4.3646,0.255,3.8714,0.6158,0.2291,0.2583,0.5582,0.2077,0.2341,0.1033,0.0391,-0.8333333333333334,1.8866666666666667,3.107142857142857,1.99
06909fade724175d59b43dcf066bc683,soccer_germany_liga3,SSV Ulm 1846,TSV Havelse,2026-04-18 14:30:00+00:00,2026-04-16 19:00:26.712749+00:00,43.49,37,1.6319,0.0377,1.55,1.68,4.077,0.1797,3.94,0.6128,0.2453,0.2538,0.5511,0.2206,0.2283,0.1119,0.0377,-0.8333333333333334,1.8866666666666667,3.267857142857143,1.9785714285714282
515d96a046668257c58f7a53244c4b0e,soccer_germany_liga3,Wehen Wiesbaden,Waldhof Mannheim,2026-04-19 17:30:00+00:00,2026-04-16 19:00:26.712749+00:00,70.49,34,2.0253,0.0622,1.95,2.15,3.0144,0.1558,3.425,0.4938,0.3317,0.292,0.4419,0.2969,0.2613,0.1175,0.0622,-0.5,2.2466666666666666,2.5961538461538463,1.6315384615384618
63f4c27be53bbc4a9bdf580db22ee75d,soccer_germany_liga3,VfB Stuttgart II,Erzgebirge Aue,2026-04-19 14:30:00+00:00,2026-04-16 19:00:26.712749+00:00,67.49,30,1.889,0.077,1.73,2.0,3.2093,0.1762,3.6643,0.5294,0.3116,0.2729,0.4753,0.2797,0.245,0.1139,0.077,-0.6666666666666666,2.1266666666666665,3.3863636363636362,2.0045454545454544
83843c5e1086c1b53e3b617af094f281,soccer_germany_liga3,FC Energie Cottbus,Rot-Weiss Essen,2026-04-19 11:30:00+00:00,2026-04-16 19:00:26.712749+00:00,64.49,35,2.2877,0.0872,2.15,2.45,2.5577,0.108,3.6137,0.4371,0.391,0.2767,0.3956,0.3539,0.2505,0.1048,0.0872,-0.3333333333333333,2.3833333333333333,3.25,1.899230769230769
8e8e888958eaf2b502d56afb33dba311,soccer_germany_liga3,1. FC Saarbrücken,TSV 1860 München,2026-04-18 12:00:00+00:00,2026-04-16 19:00:26.712749+00:00,40.99,37,2.0232,0.0507,1.91,2.12,3.1122,0.126,3.4173,0.4943,0.3213,0.2926,0.446,0.2899,0.2641,0.1082,0.0507,-0.5,2.2033333333333336,2.517857142857143,1.6428571428571426
a17893791f7a24ee56339cc3d0d4987c,soccer_germany_liga3,Jahn Regensburg,Alemannia Aachen,2026-04-17 17:00:00+00:00,2026-04-16 19:00:26.712749+00:00,21.99,39,2.5485,0.1305,2.38,2.84,2.37,0.1211,3.4662,0.3924,0.4219,0.2885,0.3558,0.3826,0.2616,0.1028,0.1305,0.35,1.736,2.71875,1.715
a60bbd78479a8a8eda9b2375911d893a,soccer_germany_liga3,MSV Duisburg,TSG Hoffenheim II,2026-04-18 12:00:00+00:00,2026-04-16 19:00:26.712749+00:00,40.99,34,1.8324,0.0472,1.73,1.91,3.4412,0.1226,3.6388,0.5457,0.2906,0.2748,0.4912,0.2615,0.2473,0.1112,0.0472,-0.6666666666666666,2.0633333333333335,2.6363636363636362,1.6600000000000001
b941032f49ac7160545ce88edbd7bb28,soccer_germany_liga3,Schweinfurt,Hansa Rostock,2026-04-18 12:00:00+00:00,2026-04-16 19:00:26.712749+00:00,40.99,36,6.0428,0.3882,5.25,6.8,1.3767,0.0289,4.7025,0.1655,0.7264,0.2127,0.1498,0.6576,0.1925,0.1045,0.3882,1.3333333333333333,1.8566666666666667,3.267857142857143,1.8964285714285711
c07039b1a8f05b2fc9f8fc2c42d0a21a,soccer_germany_liga3,FC Ingolstadt 04,VfL Osnabrück,2026-04-18 12:00:00+00:00,2026-04-16 19:00:26.712749+00:00,40.99,36,3.2869,0.1332,3.0,3.6,1.9303,0.0442,3.5447,0.3042,0.5181,0.2821,0.2755,0.4691,0.2554,0.1044,0.1332,0.6666666666666666,1.6933333333333334,2.5892857142857144,1.6685714285714286
