event_id,sport_key,home_team,away_team,commence_time,snapshot_time,hours_before_game,num_bookmakers,h2h_home_mean,h2h_home_std,h2h_home_min,h2h_home_max,h2h_away_mean,h2h_away_std,h2h_draw_mean,implied_prob_home,implied_prob_away,implied_prob_draw,prob_home_fair,prob_away_fair,prob_draw_fair,overround,books_disagreement,spread_point,spread_price,total_line,total_price
06ec6dfb09a0bd324c67e1b52150b198,soccer_greece_super_league,Panetolikos Agrinio,Panserraikos FC,2026-04-18 17:00:00+00:00,2026-04-16 19:00:28.765314+00:00,45.99,45,1.7696,0.0377,1.66,1.83,4.5222,0.3494,3.2518,0.5651,0.2211,0.3075,0.5167,0.2022,0.2812,0.0938,0.0377,-0.9,2.3600000000000003,2.361111111111111,2.0999999999999996
62480ad9b3a49df456ed85ad1accb355,soccer_greece_super_league,Panserraikos FC,Atromitos Athens,2026-04-22 13:00:00+00:00,2026-04-16 19:00:28.765314+00:00,137.99,38,3.4887,0.2058,3.1,3.8,2.0716,0.1164,2.9868,0.2866,0.4827,0.3348,0.2596,0.4372,0.3032,0.1042,0.2058,0.5,1.83,2.3333333333333335,2.126666666666667
62b869c4bba3236f86b549001f32ba5c,soccer_greece_super_league,AEK Athens,PAOK Thessaloniki,2026-04-19 15:00:00+00:00,2026-04-16 19:00:28.765314+00:00,67.99,46,2.2309,0.1167,2.0,2.43,3.0561,0.1826,3.0709,0.4483,0.3272,0.3256,0.4071,0.2972,0.2957,0.1011,0.1167,-0.35,2.21,2.4444444444444446,2.0194444444444444
862880ad6d57cc23216100f9a0d66d10,soccer_greece_super_league,Atromitos Athens,AEL,2026-04-18 14:00:00+00:00,2026-04-16 19:00:28.765314+00:00,42.99,39,1.9756,0.0627,1.82,2.07,3.7918,0.2273,3.0226,0.5062,0.2637,0.3308,0.4598,0.2396,0.3006,0.1007,0.0627,-0.6,2.1879999999999997,2.3846153846153846,2.2069230769230765
928d3b98e52bc68d32e938c1e6d3e094,soccer_greece_super_league,Panathinaikos,Olympiakos Piraeus,2026-04-19 18:00:00+00:00,2026-04-16 19:00:28.765314+00:00,70.99,46,4.0048,0.1719,3.6,4.36,1.8587,0.0491,3.1543,0.2497,0.538,0.317,0.226,0.487,0.287,0.1047,0.1719,0.5,2.0016666666666665,2.388888888888889,2.1422222222222227
9c7e083d2e06d4d47a5a3a34f9193d14,soccer_greece_super_league,Asteras Tripolis,Panetolikos Agrinio,2026-04-22 17:00:00+00:00,2026-04-16 19:00:28.765314+00:00,141.99,35,2.1331,0.1197,1.9,2.28,3.242,0.1894,3.0651,0.4688,0.3085,0.3262,0.4248,0.2795,0.2957,0.1035,0.1197,-0.5,2.3033333333333332,2.4642857142857144,2.247857142857143
b586e530fe4a976b6930926d30a911ee,soccer_greece_super_league,Aris Thessaloniki,Volos FC,2026-04-18 16:00:00+00:00,2026-04-16 19:00:28.765314+00:00,44.99,47,1.6445,0.0333,1.56,1.69,4.9711,0.3379,3.534,0.6081,0.2012,0.283,0.5568,0.1842,0.2591,0.0922,0.0333,-0.95,2.146,2.4444444444444446,1.9900000000000004
c395525726a67c501a69516c621ec799,soccer_greece_super_league,AEL,AE Kifisia FC,2026-04-22 14:00:00+00:00,2026-04-16 19:00:28.765314+00:00,138.99,19,2.2679,0.0777,2.1,2.4,2.9005,0.0869,3.0137,0.4409,0.3448,0.3318,0.3946,0.3085,0.2969,0.1175,0.0777,-1.0,4.0,2.25,1.965
de4e84d9341a071baa3457d072baab36,soccer_greece_super_league,AE Kifisia FC,Asteras Tripolis,2026-04-18 13:00:00+00:00,2026-04-16 19:00:28.765314+00:00,41.99,35,1.9651,0.0487,1.86,2.05,3.7257,0.2192,3.1923,0.5089,0.2684,0.3133,0.4666,0.2461,0.2873,0.0905,0.0487,-0.4166666666666667,1.9533333333333331,2.4,2.084
e36b3310641c5b4478b6313a12a98f5a,soccer_greece_super_league,OFI Crete,Levadiakos,2026-04-18 15:00:00+00:00,2026-04-16 19:00:28.765314+00:00,43.99,47,2.8,0.1177,2.6,3.07,2.4317,0.0978,3.0464,0.3571,0.4112,0.3283,0.3257,0.375,0.2993,0.0966,0.1177,0.16666666666666666,1.9216666666666666,2.4722222222222223,1.8933333333333333
