event_id,sport_key,home_team,away_team,commence_time,snapshot_time,hours_before_game,num_bookmakers,h2h_home_mean,h2h_home_std,h2h_home_min,h2h_home_max,h2h_away_mean,h2h_away_std,h2h_draw_mean,implied_prob_home,implied_prob_away,implied_prob_draw,prob_home_fair,prob_away_fair,prob_draw_fair,overround,books_disagreement,spread_point,spread_price,total_line,total_price
161f9baeab748dcfa4d2df893f14b25b,soccer_italy_serie_a,Fiorentina,Sassuolo,2026-04-26 10:30:00+00:00,2026-04-16 19:00:30.511736+00:00,231.49,41,1.8334,0.2276,1.06,2.02,3.9046,0.8661,3.1546,0.5454,0.2561,0.317,0.4876,0.229,0.2834,0.1185,0.2276,-0.5833333333333334,2.09,2.5,1.8650000000000002
20842ac2a58d66de639f359e26217e33,soccer_italy_serie_a,Napoli,Cremonese,2026-04-24 18:45:00+00:00,2026-04-16 19:00:30.511736+00:00,191.74,42,1.3369,0.0297,1.28,1.39,9.5421,1.0488,4.7388,0.748,0.1048,0.211,0.7031,0.0985,0.1984,0.0638,0.0297,-1.3333333333333333,1.9183333333333332,2.5,1.905
29cc5ddc31a11f7556978b323ed103fc,soccer_italy_serie_a,Parma,Pisa,2026-04-25 13:00:00+00:00,2026-04-16 19:00:30.511736+00:00,209.99,41,2.0198,0.0559,1.91,2.13,3.8256,0.1721,3.2298,0.4951,0.2614,0.3096,0.4644,0.2452,0.2904,0.0661,0.0559,-0.5833333333333334,2.27,2.45,2.2085
2ffb1d9222cfde6afe062e6da1ac19d6,soccer_italy_serie_a,Napoli,Lazio,2026-04-18 16:00:00+00:00,2026-04-16 19:00:30.511736+00:00,44.99,63,1.5459,0.0291,1.5,1.61,6.5819,0.4701,3.8505,0.6469,0.1519,0.2597,0.6111,0.1435,0.2453,0.0585,0.0291,-0.9772727272727273,2.009090909090909,2.4134615384615383,2.0715384615384616
34b2a36b21348e41658a651d9e1be405,soccer_italy_serie_a,Hellas Verona,AC Milan,2026-04-19 13:00:00+00:00,2026-04-16 19:00:30.511736+00:00,65.99,63,6.189,0.4193,5.5,7.0,1.5595,0.0399,3.8951,0.1616,0.6412,0.2567,0.1525,0.6052,0.2423,0.0595,0.4193,1.0454545454545454,1.8072727272727276,2.5,2.0362962962962965
3c0a6c55120809a87abc49406bb86657,soccer_italy_serie_a,Inter Milan,Cagliari,2026-04-17 18:45:00+00:00,2026-04-16 19:00:30.511736+00:00,23.74,64,1.2059,0.0259,1.15,1.25,13.1278,1.3138,6.5986,0.8292,0.0762,0.1515,0.7845,0.0721,0.1434,0.057,0.0259,-1.75,1.8758333333333335,2.7037037037037037,1.6951851851851851
3f0e9a96dbc83fd4b0c62cd12357b6a8,soccer_italy_serie_a,Cagliari,Atalanta BC,2026-04-27 16:30:00+00:00,2026-04-16 19:00:30.511736+00:00,261.49,40,4.5402,1.0301,1.06,5.2,1.6235,0.1672,3.5902,0.2203,0.616,0.2785,0.1976,0.5526,0.2499,0.1147,1.0301,0.9,1.832,2.5,1.8994736842105264
41396115d9202dcb93866dba2e9bc1a8,soccer_italy_serie_a,Cremonese,Torino,2026-04-19 10:30:00+00:00,2026-04-16 19:00:30.511736+00:00,63.49,63,2.8956,0.097,2.7,3.1,2.5584,0.0739,3.0779,0.3454,0.3909,0.3249,0.3255,0.3684,0.3062,0.0611,0.097,0.2727272727272727,1.8499999999999999,2.4166666666666665,2.090370370370371
4206b10bde703ad297b5c642ea89e6e7,soccer_italy_serie_a,AS Roma,Atalanta BC,2026-04-18 18:45:00+00:00,2026-04-16 19:00:30.511736+00:00,47.74,63,2.3692,0.0726,2.23,2.54,3.0203,0.0977,3.2583,0.4221,0.3311,0.3069,0.3982,0.3123,0.2895,0.0601,0.0726,-0.4090909090909091,2.463636363636364,2.5,1.9951851851851852
5744a34d60a47f720af59a055dab12c5,soccer_italy_serie_a,Hellas Verona,Lecce,2026-04-25 18:45:00+00:00,2026-04-16 19:00:30.511736+00:00,215.74,41,2.1895,0.0624,2.05,2.3,3.4856,0.1097,3.0971,0.4567,0.2869,0.3229,0.4282,0.269,0.3028,0.0665,0.0624,-0.4166666666666667,2.2849999999999997,1.75,1.7875
