event_id,sport_key,home_team,away_team,commence_time,snapshot_time,hours_before_game,num_bookmakers,h2h_home_mean,h2h_home_std,h2h_home_min,h2h_home_max,h2h_away_mean,h2h_away_std,h2h_draw_mean,implied_prob_home,implied_prob_away,implied_prob_draw,prob_home_fair,prob_away_fair,prob_draw_fair,overround,books_disagreement,spread_point,spread_price,total_line,total_price,day_of_week,month,year,hour_utc,is_weekend,home_is_fav,market_edge
07aa917accc1528c1485e95c0e113f0f,soccer_italy_serie_b,Sampdoria,Monza,2026-04-17 18:30:00+00:00,2026-04-16 19:00:28.617326+00:00,23.49,56,3.2502,0.1869,2.95,3.65,2.1807,0.0886,3.1364,0.3077,0.4586,0.3188,0.2836,0.4226,0.2938,0.0851,0.1869,0.46875,1.84625,2.43,2.112,4,4,2026,18,0,0,0.139
146959df1fce12f6bd8f1d66dc53e037,soccer_italy_serie_b,Bari,Venezia,2026-04-18 13:00:00+00:00,2026-04-16 19:00:28.617326+00:00,41.99,55,5.9876,0.4096,5.25,6.75,1.4382,0.0329,4.4187,0.167,0.6953,0.2263,0.1534,0.6387,0.2079,0.0886,0.4096,1.2857142857142858,1.8042857142857145,2.7916666666666665,1.7779166666666668,5,4,2026,13,1,0,0.4853
4d8ce3caa48633aa778520cabf024ca0,soccer_italy_serie_b,Juve Stabia,US Catanzaro 1929,2026-04-18 17:30:00+00:00,2026-04-16 19:00:28.617326+00:00,46.49,55,2.3015,0.0742,2.05,2.4,2.9607,0.1415,3.1476,0.4345,0.3378,0.3177,0.3986,0.3099,0.2915,0.09,0.0742,-0.46875,2.50375,2.45,1.9908,5,4,2026,17,1,1,0.0887
6c9b6206fbe479415be13f0327326140,soccer_italy_serie_b,Carrarese,Pescara,2026-04-19 13:00:00+00:00,2026-04-16 19:00:28.617326+00:00,65.99,55,2.1651,0.0971,1.95,2.34,2.9942,0.1874,3.3282,0.4619,0.334,0.3005,0.4213,0.3046,0.2741,0.0963,0.0971,-0.5,2.4957142857142856,2.55,1.8192,6,4,2026,13,1,1,0.1167
97031de4efbcf92ececd0be0b5a1567f,soccer_italy_serie_b,Spezia,Südtirol,2026-04-18 13:00:00+00:00,2026-04-16 19:00:28.617326+00:00,41.99,55,2.3387,0.0725,2.15,2.45,2.9029,0.1007,3.1355,0.4276,0.3445,0.3189,0.3919,0.3157,0.2923,0.091,0.0725,-0.46875,2.5425,2.47,2.0664000000000002,5,4,2026,13,1,1,0.0762
9ef026152f132941170ecb2981dbeae4,soccer_italy_serie_b,Palermo,Cesena FC,2026-04-18 15:15:00+00:00,2026-04-16 19:00:28.617326+00:00,44.24,54,1.5324,0.0336,1.44,1.58,5.3283,0.3553,4.0165,0.6526,0.1877,0.249,0.5991,0.1723,0.2286,0.0892,0.0336,-1.0833333333333333,2.036666666666667,2.55,1.716,5,4,2026,15,1,1,0.4268
a4052f1847453945667014ba5ab32628,soccer_italy_serie_b,Mantova,Avellino,2026-04-18 13:00:00+00:00,2026-04-16 19:00:28.617326+00:00,41.99,53,2.0996,0.2689,1.04,2.3,3.0826,0.5192,3.0206,0.4763,0.3244,0.3311,0.4208,0.2866,0.2925,0.1317,0.2689,-0.5833333333333334,2.5849999999999995,2.467391304347826,1.9417391304347829,5,4,2026,13,1,1,0.1342
b436aed96ba4474e75952428205f86a3,soccer_italy_serie_b,Modena,Frosinone,2026-04-18 13:00:00+00:00,2026-04-16 19:00:28.617326+00:00,41.99,55,2.3347,0.0659,2.15,2.46,2.768,0.1021,3.3376,0.4283,0.3613,0.2996,0.3932,0.3317,0.2751,0.0892,0.0659,-0.3125,2.38125,2.5520833333333335,1.7304166666666667,5,4,2026,13,1,1,0.0615
e4f63ab1f819f43c6e382830c1609e6d,soccer_italy_serie_b,Empoli,Virtus Entella,2026-04-19 17:30:00+00:00,2026-04-16 19:00:28.617326+00:00,70.49,54,2.0248,0.0585,1.9,2.14,3.5081,0.1436,3.1461,0.4939,0.2851,0.3179,0.4503,0.2599,0.2898,0.0968,0.0585,-0.5,2.278571428571429,2.46875,2.03125,6,4,2026,17,1,1,0.1904
e5fd7641537970707bc9b996c030303d,soccer_italy_serie_b,Padova,Reggiana,2026-04-19 15:15:00+00:00,2026-04-16 19:00:28.617326+00:00,68.24,55,1.9529,0.0709,1.8,2.06,3.7,0.2017,3.188,0.5121,0.2703,0.3137,0.4672,0.2466,0.2862,0.096,0.0709,-0.625,2.2225,2.4479166666666665,2.0362500000000003,6,4,2026,15,1,1,0.2206
