event_id,sport_key,home_team,away_team,commence_time,snapshot_time,hours_before_game,num_bookmakers,h2h_home_mean,h2h_home_std,h2h_home_min,h2h_home_max,h2h_away_mean,h2h_away_std,h2h_draw_mean,implied_prob_home,implied_prob_away,implied_prob_draw,prob_home_fair,prob_away_fair,prob_draw_fair,overround,books_disagreement,spread_point,spread_price,total_line,total_price
0fbd93a2c75bb85b1567928f2ac42f45,soccer_korea_kleague1,Jeju United FC,Sangju Sangmu FC,2026-04-18 07:30:00+00:00,2026-04-16 19:00:36.035706+00:00,36.49,45,2.7818,0.1108,2.55,3.0,2.3433,0.0699,3.0324,0.3595,0.4267,0.3298,0.3221,0.3824,0.2955,0.116,0.1108,0.5416666666666666,1.64,2.4761904761904763,1.9123809523809518
2f88b1a85b9d3d729cf0fb8c163bc8ed,soccer_korea_kleague1,Pohang Steelers,FC Anyang,2026-04-19 07:30:00+00:00,2026-04-16 19:00:36.035706+00:00,60.49,40,2.0445,0.0457,1.92,2.12,3.3972,0.1469,3.1185,0.4891,0.2944,0.3207,0.443,0.2666,0.2904,0.1041,0.0457,-0.5416666666666666,2.401666666666667,2.4404761904761907,2.1119047619047624
4ff704f3a79f2d3fcec37721f5ff5f94,soccer_korea_kleague1,Ulsan Hyundai FC,Gwangju FC,2026-04-19 05:00:00+00:00,2026-04-16 19:00:36.035706+00:00,57.99,41,1.5312,0.0404,1.44,1.6,5.3829,0.427,3.7629,0.6531,0.1858,0.2658,0.5912,0.1682,0.2406,0.1046,0.0404,-1.1666666666666667,2.1216666666666666,2.4761904761904763,1.8847619047619046
a284857997882280fdee91223ebc91f8,soccer_korea_kleague1,FC Anyang,Ulsan Hyundai FC,2026-04-22 10:30:00+00:00,2026-04-16 19:00:36.035706+00:00,135.49,13,2.8431,0.0338,2.75,2.88,2.2823,0.0217,3.1038,0.3517,0.4382,0.3222,0.3163,0.394,0.2897,0.1121,0.0338,,,2.5,1.887
abf71299bff68175b8a7854899ca5d0e,soccer_korea_kleague1,Daejeon Citizen,Jeju United FC,2026-04-22 10:30:00+00:00,2026-04-16 19:00:36.035706+00:00,135.49,13,1.7877,0.0124,1.75,1.8,3.9038,0.0247,3.3538,0.5594,0.2562,0.2982,0.5023,0.23,0.2677,0.1137,0.0124,,,2.5,1.8650000000000002
ba5143012e2b6865688db7ed8661c27c,soccer_korea_kleague1,Pohang Steelers,Gwangju FC,2026-04-22 10:30:00+00:00,2026-04-16 19:00:36.035706+00:00,135.49,13,1.7569,0.0149,1.71,1.77,4.3,0.0354,3.2385,0.5692,0.2326,0.3088,0.5125,0.2094,0.2781,0.1105,0.0149,,,2.5,2.164
c9a5f8d46f0930a2c99dcde6b7eff339,soccer_korea_kleague1,Sangju Sangmu FC,Gangwon FC,2026-04-21 10:30:00+00:00,2026-04-16 19:00:36.035706+00:00,111.49,13,2.8746,0.0254,2.8,2.9,2.2992,0.0198,3.0538,0.3479,0.4349,0.3275,0.3133,0.3917,0.2949,0.1103,0.0254,,,2.5,2.043
d4b46348b75817c6558a6f6ccab36847,soccer_korea_kleague1,Gangwon FC,Jeonbuk Hyundai Motors,2026-04-18 05:00:00+00:00,2026-04-16 19:00:36.035706+00:00,33.99,45,2.4407,0.0793,2.2,2.55,2.77,0.1664,3.0024,0.4097,0.361,0.3331,0.3712,0.3271,0.3017,0.1038,0.0793,-0.4583333333333333,2.8033333333333332,2.4404761904761907,2.0714285714285716
ff073da3d37b42d30047fa55f741f3b6,soccer_korea_kleague1,Jeonbuk Hyundai Motors,Incheon United,2026-04-21 10:30:00+00:00,2026-04-16 19:00:36.035706+00:00,111.49,13,1.8946,0.0203,1.85,1.93,3.6538,0.0247,3.2038,0.5278,0.2737,0.3121,0.474,0.2458,0.2803,0.1136,0.0203,,,2.5,2.0309999999999997
ff17687e8f9da42d60c4dcdf7d84ff9a,soccer_korea_kleague1,FC Seoul,Daejeon Citizen,2026-04-18 05:00:00+00:00,2026-04-16 19:00:36.035706+00:00,33.99,44,1.8827,0.0578,1.78,1.96,3.7584,0.1517,3.3423,0.5311,0.2661,0.2992,0.4844,0.2427,0.2729,0.0964,0.0578,-0.5833333333333334,2.2133333333333334,2.4761904761904763,1.855238095238095
