event_id,sport_key,home_team,away_team,commence_time,snapshot_time,hours_before_game,num_bookmakers,h2h_home_mean,h2h_home_std,h2h_home_min,h2h_home_max,h2h_away_mean,h2h_away_std,h2h_draw_mean,implied_prob_home,implied_prob_away,implied_prob_draw,prob_home_fair,prob_away_fair,prob_draw_fair,overround,books_disagreement,spread_point,spread_price,total_line,total_price
0eb89a3e70708aa669fdf2bbf2c78aac,soccer_mexico_ligamx,Atlético San Luis,Pumas,2026-04-18 01:00:00+00:00,2026-04-16 19:00:31.932795+00:00,29.99,50,2.4454,0.1142,2.2,2.6,2.603,0.1154,3.4016,0.4089,0.3842,0.294,0.3762,0.3534,0.2704,0.0871,0.1142,-0.375,2.5387500000000003,2.5454545454545454,1.7159090909090906
28af082527fdb09fdfe53f5016b277c4,soccer_mexico_ligamx,Guadalajara,Puebla,2026-04-19 01:07:00+00:00,2026-04-16 19:00:31.932795+00:00,54.11,47,1.2757,0.0264,1.21,1.33,8.7687,0.8809,5.2864,0.7839,0.114,0.1892,0.7211,0.1049,0.174,0.0871,0.0264,-1.5,1.845,3.238095238095238,2.046190476190476
314b83cb181e2ba47787c4f8b9d316fe,soccer_mexico_ligamx,Querétaro,Cruz Azul,2026-04-22 01:00:00+00:00,2026-04-16 19:00:31.932795+00:00,125.99,37,3.6241,0.7909,1.04,4.2,1.7095,0.2115,3.4035,0.2759,0.585,0.2938,0.239,0.5066,0.2544,0.1547,0.7909,0.5,2.1466666666666665,2.5,1.68125
316cac586e0b785f8db951cc55a2424d,soccer_mexico_ligamx,Atlético San Luis,Santos Laguna,2026-04-23 01:00:00+00:00,2026-04-16 19:00:31.932795+00:00,149.99,35,1.66,0.201,1.04,1.8,3.6577,0.8263,3.5717,0.6024,0.2734,0.28,0.5212,0.2365,0.2422,0.1558,0.201,-1.25,2.51,2.6666666666666665,1.6373333333333333
3ee6c8d7cf03f73f37eefa866d3618bc,soccer_mexico_ligamx,Pumas,FC Juárez,2026-04-22 01:00:00+00:00,2026-04-16 19:00:31.932795+00:00,125.99,36,1.7792,0.2384,1.04,1.95,3.3878,0.7394,3.33,0.5621,0.2952,0.3003,0.4856,0.255,0.2594,0.1575,0.2384,-0.5,1.8966666666666665,2.5,1.685
57c074f7982bab013765a085f163ec70,soccer_mexico_ligamx,Santos Laguna,Atlas,2026-04-19 23:00:00+00:00,2026-04-16 19:00:31.932795+00:00,75.99,51,2.418,0.077,2.2,2.51,2.5861,0.0897,3.3918,0.4136,0.3867,0.2948,0.3777,0.3531,0.2692,0.0951,0.077,-0.375,2.5575,2.5454545454545454,1.761363636363636
6a55cb57cccc369cf2b04c64fb6ab476,soccer_mexico_ligamx,Toluca,León,2026-04-26 01:00:00+00:00,2026-04-16 19:00:31.932795+00:00,221.99,13,1.3185,0.027,1.27,1.34,7.5,0.0,4.9385,0.7585,0.1333,0.2025,0.6931,0.1218,0.185,0.0943,0.027,,,3.5,2.071
6ce00fdde4b887e3677e3606c42cbe18,soccer_mexico_ligamx,León,América,2026-04-22 03:06:00+00:00,2026-04-16 19:00:31.932795+00:00,128.09,36,3.1786,0.684,1.04,3.65,1.8508,0.2559,3.3131,0.3146,0.5403,0.3018,0.272,0.4671,0.2609,0.1567,0.684,0.5,1.8833333333333335,2.5,1.7037499999999999
74b41eb9f5e490599113034aa206242e,soccer_mexico_ligamx,Tijuana,Pachuca,2026-04-23 03:00:00+00:00,2026-04-16 19:00:31.932795+00:00,151.99,35,2.7871,0.5513,1.04,3.1,2.0417,0.3176,3.1889,0.3588,0.4898,0.3136,0.3087,0.4214,0.2698,0.1622,0.5513,0.5,1.7650000000000001,2.5,1.644
825d853a344f9ff2fe2406752924b83f,soccer_mexico_ligamx,Puebla,Querétaro,2026-04-25 03:00:00+00:00,2026-04-16 19:00:31.932795+00:00,199.99,13,1.9692,0.0413,1.89,2.0,3.3846,0.0774,3.4423,0.5078,0.2955,0.2905,0.4643,0.2701,0.2656,0.0938,0.0413,,,2.5,1.752
8aaf4698f230d407dbe545eb2e5b9027,soccer_mexico_ligamx,Necaxa,Tigres,2026-04-18 23:00:00+00:00,2026-04-16 19:00:31.932795+00:00,51.99,50,3.599,0.2885,3.15,4.1,1.9064,0.0801,3.455,0.2779,0.5245,0.2894,0.2545,0.4804,0.2651,0.0918,0.2885,0.625,1.80875,2.5454545454545454,1.8050000000000004
