event_id,sport_key,home_team,away_team,commence_time,snapshot_time,hours_before_game,num_bookmakers,h2h_home_mean,h2h_home_std,h2h_home_min,h2h_home_max,h2h_away_mean,h2h_away_std,h2h_draw_mean,implied_prob_home,implied_prob_away,implied_prob_draw,prob_home_fair,prob_away_fair,prob_draw_fair,overround,books_disagreement,spread_point,spread_price,total_line,total_price
36ffdc7f877a0da88068dfe5343c629b,soccer_spain_la_liga,Getafe,Barcelona,2026-04-25 14:15:00+00:00,2026-04-16 19:00:36.480771+00:00,211.24,40,5.1072,0.3885,4.5,5.75,1.6278,0.0423,3.8948,0.1958,0.6143,0.2568,0.1835,0.5758,0.2407,0.0669,0.3885,1.0833333333333333,1.71,2.5,1.8080952380952384
445c97066158652824e10b05bc53c6ae,soccer_spain_la_liga,Barcelona,Celta Vigo,2026-04-22 19:30:00+00:00,2026-04-16 19:00:36.480771+00:00,144.49,58,1.2534,0.0231,1.2,1.29,9.1526,0.7103,6.4233,0.7978,0.1093,0.1557,0.7507,0.1028,0.1465,0.0627,0.0231,-1.78125,1.8987499999999997,3.4326923076923075,1.7480769230769229
4c05627297ffdfd1bb17dfcc1dd3b6d6,soccer_spain_la_liga,Mallorca,Valencia,2026-04-21 17:00:00+00:00,2026-04-16 19:00:36.480771+00:00,117.99,58,2.4647,0.0799,2.25,2.64,2.9336,0.0938,3.1648,0.4057,0.3409,0.316,0.3818,0.3208,0.2974,0.0626,0.0799,-0.2777777777777778,2.42,2.4711538461538463,2.115
548f901ac0c811c39953f7e3769040cb,soccer_spain_la_liga,Villarreal,Celta Vigo,2026-04-26 19:00:00+00:00,2026-04-16 19:00:36.480771+00:00,239.99,35,1.7503,0.055,1.64,1.87,4.2694,0.2552,3.824,0.5713,0.2342,0.2615,0.5354,0.2195,0.2451,0.0671,0.055,-0.5,1.7759999999999998,2.525,1.7215
5f9d3da4f9116d7f74b873d6d8c5b5b5,soccer_spain_la_liga,CA Osasuna,Sevilla,2026-04-26 16:30:00+00:00,2026-04-16 19:00:36.480771+00:00,237.49,39,2.0264,0.2862,1.06,2.2,3.1774,0.6321,3.1921,0.4935,0.3147,0.3133,0.44,0.2806,0.2793,0.1215,0.2862,-0.5,2.27,2.4761904761904763,2.0471428571428567
7759c10d8fefa09122099f380241a8be,soccer_spain_la_liga,Girona,Real Betis,2026-04-21 19:30:00+00:00,2026-04-16 19:00:36.480771+00:00,120.49,57,2.3965,0.0609,2.25,2.5,2.8219,0.0929,3.4346,0.4173,0.3544,0.2912,0.3926,0.3334,0.274,0.0628,0.0609,-0.375,2.48,2.5,1.8003846153846153
7af046b7a51c309f8f2f6c820e7bcb11,soccer_spain_la_liga,Elche CF,Atlético Madrid,2026-04-22 17:00:00+00:00,2026-04-16 19:00:36.480771+00:00,141.99,54,2.6381,0.0874,2.38,2.8,2.4498,0.0779,3.6469,0.3791,0.4082,0.2742,0.3571,0.3846,0.2583,0.0615,0.0874,0.3125,1.765,2.5833333333333335,1.7154166666666668
7d04b13a6988f1d0c565ed53ce9263b7,soccer_spain_la_liga,Valencia,Girona,2026-04-25 16:30:00+00:00,2026-04-16 19:00:36.480771+00:00,213.49,40,1.961,0.2647,1.06,2.13,3.355,0.6817,3.2118,0.5099,0.2981,0.3114,0.4556,0.2663,0.2782,0.1194,0.2647,-0.5,2.1816666666666666,2.5,1.8847619047619046
889999898c80c9a8b977eaad80d7f918,soccer_spain_la_liga,Oviedo,Elche CF,2026-04-26 14:15:00+00:00,2026-04-16 19:00:36.480771+00:00,235.24,39,2.2023,0.3394,1.06,2.42,2.8572,0.5363,3.1436,0.4541,0.35,0.3181,0.4046,0.3119,0.2835,0.1222,0.3394,-0.3333333333333333,2.2783333333333333,2.4761904761904763,2.0309523809523813
a3f979b998f70bcf99bcee41c65f90a5,soccer_spain_la_liga,Levante,Sevilla,2026-04-23 17:00:00+00:00,2026-04-16 19:00:36.480771+00:00,165.99,57,2.5181,0.0727,2.32,2.67,2.7826,0.1033,3.2696,0.3971,0.3594,0.3058,0.3738,0.3383,0.2879,0.0623,0.0727,-0.2777777777777778,2.506666666666667,2.451923076923077,2.048076923076923
