event_id,sport_key,sport_title,commence_time,home_team,away_team,snapshot_time,market_type,bookmaker_key,bookmaker_title,last_update,market,outcome_name,price,point,implied_prob
74f39156689a078022ede0ab999cd304,baseball_mlb,MLB,2026-04-16T16:40:00Z,Pittsburgh Pirates,Washington Nationals,2026-04-16T18:59:53.170159+00:00,main,fanduel,FanDuel,2026-04-16T18:59:38Z,h2h,Pittsburgh Pirates,2.46,,0.406504
74f39156689a078022ede0ab999cd304,baseball_mlb,MLB,2026-04-16T16:40:00Z,Pittsburgh Pirates,Washington Nationals,2026-04-16T18:59:53.170159+00:00,main,fanduel,FanDuel,2026-04-16T18:59:38Z,h2h,Washington Nationals,1.53,,0.653595
74f39156689a078022ede0ab999cd304,baseball_mlb,MLB,2026-04-16T16:40:00Z,Pittsburgh Pirates,Washington Nationals,2026-04-16T18:59:53.170159+00:00,main,fanduel,FanDuel,2026-04-16T18:59:38Z,spreads,Pittsburgh Pirates,1.34,1.5,0.746269
74f39156689a078022ede0ab999cd304,baseball_mlb,MLB,2026-04-16T16:40:00Z,Pittsburgh Pirates,Washington Nationals,2026-04-16T18:59:53.170159+00:00,main,fanduel,FanDuel,2026-04-16T18:59:38Z,spreads,Washington Nationals,3.05,-1.5,0.327869
74f39156689a078022ede0ab999cd304,baseball_mlb,MLB,2026-04-16T16:40:00Z,Pittsburgh Pirates,Washington Nationals,2026-04-16T18:59:53.170159+00:00,main,fanduel,FanDuel,2026-04-16T18:59:38Z,totals,Over,2.12,15.5,0.471698
74f39156689a078022ede0ab999cd304,baseball_mlb,MLB,2026-04-16T16:40:00Z,Pittsburgh Pirates,Washington Nationals,2026-04-16T18:59:53.170159+00:00,main,fanduel,FanDuel,2026-04-16T18:59:38Z,totals,Under,1.68,15.5,0.595238
74f39156689a078022ede0ab999cd304,baseball_mlb,MLB,2026-04-16T16:40:00Z,Pittsburgh Pirates,Washington Nationals,2026-04-16T18:59:53.170159+00:00,main,fliff,Fliff,2026-04-16T18:58:29Z,h2h,Pittsburgh Pirates,2.45,,0.408163
74f39156689a078022ede0ab999cd304,baseball_mlb,MLB,2026-04-16T16:40:00Z,Pittsburgh Pirates,Washington Nationals,2026-04-16T18:59:53.170159+00:00,main,fliff,Fliff,2026-04-16T18:58:29Z,h2h,Washington Nationals,1.5,,0.666667
74f39156689a078022ede0ab999cd304,baseball_mlb,MLB,2026-04-16T16:40:00Z,Pittsburgh Pirates,Washington Nationals,2026-04-16T18:59:53.170159+00:00,main,fliff,Fliff,2026-04-16T18:58:29Z,spreads,Pittsburgh Pirates,1.38,1.5,0.724638
74f39156689a078022ede0ab999cd304,baseball_mlb,MLB,2026-04-16T16:40:00Z,Pittsburgh Pirates,Washington Nationals,2026-04-16T18:59:53.170159+00:00,main,fliff,Fliff,2026-04-16T18:58:29Z,spreads,Washington Nationals,2.9,-1.5,0.344828
