event_id,sport_key,sport_title,home_team,away_team,commence_time,snapshot_time
187c578ce8d890dd5b9b3cbdcb2fa3e2,soccer_austria_bundesliga,Austrian Football Bundesliga,Grazer AK,Ried,2026-04-17T17:30:00Z,2026-04-16T19:00:11.656142+00:00
9cb51db4c427ca1a2670d918fdf68507,soccer_austria_bundesliga,Austrian Football Bundesliga,Wolfsberger AC,FC Blau-Weiß Linz,2026-04-18T15:00:00Z,2026-04-16T19:00:11.656142+00:00
7dac1dba9b9e0594dea3566bc2aae2dc,soccer_austria_bundesliga,Austrian Football Bundesliga,WSG Tirol,Rheindorf Altach,2026-04-18T15:00:00Z,2026-04-16T19:00:11.656142+00:00
b92ea230d0e618fafc6e67ae439fd202,soccer_austria_bundesliga,Austrian Football Bundesliga,Austria Wien,RB Salzburg,2026-04-19T12:30:00Z,2026-04-16T19:00:11.656142+00:00
c671bb03dd66d03163e5bf9f121a900e,soccer_austria_bundesliga,Austrian Football Bundesliga,Hartberg,Rapid Wien,2026-04-19T12:30:00Z,2026-04-16T19:00:11.656142+00:00
588561d655748d55987e20d5ac90aeee,soccer_austria_bundesliga,Austrian Football Bundesliga,LASK,Sturm Graz,2026-04-19T15:00:00Z,2026-04-16T19:00:11.656142+00:00
1cd6a2e373dca05bcf3a264d1ae6ec52,soccer_austria_bundesliga,Austrian Football Bundesliga,FC Blau-Weiß Linz,Wolfsberger AC,2026-04-21T16:30:00Z,2026-04-16T19:00:11.656142+00:00
6419c6a89f4363a638ed3355c50e3760,soccer_austria_bundesliga,Austrian Football Bundesliga,Rheindorf Altach,WSG Tirol,2026-04-21T16:30:00Z,2026-04-16T19:00:11.656142+00:00
a0bf90482d2c45b5da5c4b51c81a87e4,soccer_austria_bundesliga,Austrian Football Bundesliga,Ried,Grazer AK,2026-04-21T18:30:00Z,2026-04-16T19:00:11.656142+00:00
b50f35cfa99a87dac6be87e36b9c067a,soccer_austria_bundesliga,Austrian Football Bundesliga,RB Salzburg,Austria Wien,2026-04-22T16:30:00Z,2026-04-16T19:00:11.656142+00:00
a35cb076c401c6783622e292cb86184a,soccer_austria_bundesliga,Austrian Football Bundesliga,Rapid Wien,Hartberg,2026-04-22T16:30:00Z,2026-04-16T19:00:11.656142+00:00
f0d929f54b11b78897efdafbdbe608d1,soccer_austria_bundesliga,Austrian Football Bundesliga,Sturm Graz,LASK,2026-04-22T18:30:00Z,2026-04-16T19:00:11.656142+00:00
