event_id,sport_key,home_team,away_team,commence_time,completed,last_update,score_name,score_value
b410fb7ac3cfcd019a6c8a9f13e4fdfa,soccer_belgium_first_div,Royal Antwerp,Leuven,2026-04-18T14:00:00Z,False,,,
d810477b5032aa26661839f2cebbda8e,soccer_belgium_first_div,Charleroi,Standard Liege,2026-04-18T16:15:00Z,False,,,
e8e17742d6ae733ea9a32edabde56a34,soccer_belgium_first_div,Westerlo,Genk,2026-04-18T16:15:00Z,False,,,
d0bffdc5f71a2c4ff69cd438210b534b,soccer_belgium_first_div,KV Mechelen,Anderlecht,2026-04-18T18:45:00Z,False,,,
a94ec6a1b23c03661701b197dcd2d7ba,soccer_belgium_first_div,Gent,Sint Truiden,2026-04-19T11:30:00Z,False,,,
fc96ec30f3e006928debbde4788cf094,soccer_belgium_first_div,Dender,Cercle Brugge KSV,2026-04-19T14:00:00Z,False,,,
05555a58cbe4c04ac9136dfd419d2fd7,soccer_belgium_first_div,Union Saint-Gilloise,Club Brugge,2026-04-19T16:30:00Z,False,,,
a84e4d79a0afde7a1843a3c99dafda7e,soccer_belgium_first_div,RAAL La Louvière,SV Zulte-Waregem,2026-04-19T17:15:00Z,False,,,
11a045d34def4e22a46f2e38f0880b88,soccer_belgium_first_div,Genk,Charleroi,2026-04-21T18:30:00Z,False,,,
d528b317d2525b9dcfa8f397e7d88af5,soccer_belgium_first_div,Leuven,Westerlo,2026-04-21T18:30:00Z,False,,,
54ec5f0ce0e1ab8e4bc20ac399736364,soccer_belgium_first_div,Standard Liege,Royal Antwerp,2026-04-21T18:30:00Z,False,,,
dea6a48511207d95308e7dbb17af017b,soccer_belgium_first_div,Club Brugge,KV Mechelen,2026-04-22T18:30:00Z,False,,,
30b0602ac8e9b1de3131918209fdc30d,soccer_belgium_first_div,Union Saint-Gilloise,Gent,2026-04-22T18:30:00Z,False,,,
78323e148b3de2be80a96621c27f5b9b,soccer_belgium_first_div,Sint Truiden,Anderlecht,2026-04-23T18:30:00Z,False,,,
07990ad8041518a9040c2d1eacde47cf,soccer_belgium_first_div,Cercle Brugge KSV,Dender,2026-04-24T18:45:00Z,False,,,
931a214ef2a9b45eb4baeef6ed7cae62,soccer_belgium_first_div,Leuven,Charleroi,2026-04-25T14:00:00Z,False,,,
605cdd8b0421d866fc82ac163c154fc7,soccer_belgium_first_div,Genk,Standard Liege,2026-04-25T16:15:00Z,False,,,
99d487892eff03678e045062750dec78,soccer_belgium_first_div,Westerlo,Royal Antwerp,2026-04-25T18:45:00Z,False,,,
6d571dc995426901f7af65ceba7f2e51,soccer_belgium_first_div,Gent,Club Brugge,2026-04-26T11:30:00Z,False,,,
f50c8092d1f4bae432272d398e9d8d08,soccer_belgium_first_div,KV Mechelen,Sint Truiden,2026-04-26T14:00:00Z,False,,,
3ab0dcefb8c6f1aeb43ef911d7f6a6ad,soccer_belgium_first_div,Anderlecht,Union Saint-Gilloise,2026-04-26T16:30:00Z,False,,,
06f18bbb38f884281ee3b96bf1ecc8a4,soccer_belgium_first_div,SV Zulte-Waregem,RAAL La Louvière,2026-04-26T17:15:00Z,False,,,
