event_id,sport_key,sport_title,home_team,away_team,commence_time,snapshot_time
aa47c5e1899558d8e11c4c7d3b83248a,soccer_conmebol_copa_libertadores,Copa Libertadores,Lanus,Club Always Ready,2026-04-16T22:00:00Z,2026-04-16T19:00:15.662413+00:00
11320b9dee58d3ab303afb42c48b899d,soccer_conmebol_copa_libertadores,Copa Libertadores,Palmeiras-SP,Sporting Cristal,2026-04-16T22:00:00Z,2026-04-16T19:00:15.662413+00:00
b66e14d1dd61dd38a8c471fc87dab539,soccer_conmebol_copa_libertadores,Copa Libertadores,Flamengo-RJ,Independiente Medellín,2026-04-17T00:30:00Z,2026-04-16T19:00:15.662413+00:00
e610ed16e54fcc6351816ec62df204b6,soccer_conmebol_copa_libertadores,Copa Libertadores,Peñarol Montevideo,Platense,2026-04-17T00:30:00Z,2026-04-16T19:00:15.662413+00:00
e27399ccf11378bfa15c2595456fc581,soccer_conmebol_copa_libertadores,Copa Libertadores,Libertad Asuncion,Independiente del Valle,2026-04-28T22:00:00Z,2026-04-16T19:00:15.662413+00:00
9dc1db7ea0b7bca0295fa7fb9d197fce,soccer_conmebol_copa_libertadores,Copa Libertadores,Lanus,LDU Quito,2026-04-28T22:00:00Z,2026-04-16T19:00:15.662413+00:00
81ab5e5fe151d6e98be59c6c923a039b,soccer_conmebol_copa_libertadores,Copa Libertadores,UCV FC,Rosario Central,2026-04-29T00:00:00Z,2026-04-16T19:00:15.662413+00:00
59b70cf163deb25f29e8836e5bf58fcd,soccer_conmebol_copa_libertadores,Copa Libertadores,Cruzeiro,Boca Juniors,2026-04-29T00:30:00Z,2026-04-16T19:00:15.662413+00:00
f849ad9590fcb818244d66fde250a82e,soccer_conmebol_copa_libertadores,Copa Libertadores,Deportes Tolima,Coquimbo Unido,2026-04-29T02:00:00Z,2026-04-16T19:00:15.662413+00:00
99fc76e0c1f994aca0c781c054bb700f,soccer_conmebol_copa_libertadores,Copa Libertadores,Sporting Cristal,Junior FC,2026-04-29T02:00:00Z,2026-04-16T19:00:15.662413+00:00
b59a34cba479de6ec68e123ef0178d5b,soccer_conmebol_copa_libertadores,Copa Libertadores,Mirassol,Club Always Ready,2026-04-29T22:00:00Z,2026-04-16T19:00:15.662413+00:00
d7a84e0daa6c127669b461405073b987,soccer_conmebol_copa_libertadores,Copa Libertadores,Platense,Independiente Santa Fe,2026-04-29T22:00:00Z,2026-04-16T19:00:15.662413+00:00
73f2ac11ab8998e87f696dbe42a6609e,soccer_conmebol_copa_libertadores,Copa Libertadores,Barcelona SC,Universidad Católica (CHI),2026-04-30T00:00:00Z,2026-04-16T19:00:15.662413+00:00
5a4404b9bbe5ccebac517501852598f7,soccer_conmebol_copa_libertadores,Copa Libertadores,Cerro Porteño,Palmeiras-SP,2026-04-30T00:30:00Z,2026-04-16T19:00:15.662413+00:00
541791945936f8e6f19593941d30986d,soccer_conmebol_copa_libertadores,Copa Libertadores,Estudiantes La Plata,Flamengo-RJ,2026-04-30T00:30:00Z,2026-04-16T19:00:15.662413+00:00
cafde63b88c416fa83188dec2e1fd267,soccer_conmebol_copa_libertadores,Copa Libertadores,Club Universitario de Deportes,Nacional de Montevideo,2026-04-30T02:00:00Z,2026-04-16T19:00:15.662413+00:00
c41cf8cd5dc2bcf1d24c9a3ebf654d28,soccer_conmebol_copa_libertadores,Copa Libertadores,Club Bolívar,Fluminense-RJ,2026-04-30T22:00:00Z,2026-04-16T19:00:15.662413+00:00
6d1a31f587e0151f8346ce2afd3c9cf6,soccer_conmebol_copa_libertadores,Copa Libertadores,Independiente Rivadavia,Deportivo La Guaira,2026-04-30T22:00:00Z,2026-04-16T19:00:15.662413+00:00
4a177e2bec4410c1b28bd4fe742a10c1,soccer_conmebol_copa_libertadores,Copa Libertadores,Corinthians-SP,Peñarol Montevideo,2026-05-01T00:00:00Z,2026-04-16T19:00:15.662413+00:00
3d5e68dc3158686257fc19c59078a611,soccer_conmebol_copa_libertadores,Copa Libertadores,Independiente Medellín,Cusco FC,2026-05-01T02:00:00Z,2026-04-16T19:00:15.662413+00:00
