event_id,sport_key,sport_title,commence_time,home_team,away_team,snapshot_time,market_type,bookmaker_key,bookmaker_title,last_update,market,outcome_name,price,point,implied_prob
1a0c97efadd5fc0543a45c00d7a5c4ec,soccer_conmebol_copa_sudamericana,Copa Sudamericana,2026-04-16T22:00:00Z,Clube Atlético Mineiro,CA Juventud,2026-04-16T19:00:16.534715+00:00,main,unibet,Unibet,2026-04-16T18:59:35Z,h2h,CA Juventud,12.0,,0.083333
1a0c97efadd5fc0543a45c00d7a5c4ec,soccer_conmebol_copa_sudamericana,Copa Sudamericana,2026-04-16T22:00:00Z,Clube Atlético Mineiro,CA Juventud,2026-04-16T19:00:16.534715+00:00,main,unibet,Unibet,2026-04-16T18:59:35Z,h2h,Clube Atlético Mineiro,1.24,,0.806452
1a0c97efadd5fc0543a45c00d7a5c4ec,soccer_conmebol_copa_sudamericana,Copa Sudamericana,2026-04-16T22:00:00Z,Clube Atlético Mineiro,CA Juventud,2026-04-16T19:00:16.534715+00:00,main,unibet,Unibet,2026-04-16T18:59:35Z,h2h,Draw,6.0,,0.166667
1a0c97efadd5fc0543a45c00d7a5c4ec,soccer_conmebol_copa_sudamericana,Copa Sudamericana,2026-04-16T22:00:00Z,Clube Atlético Mineiro,CA Juventud,2026-04-16T19:00:16.534715+00:00,main,unibet,Unibet,2026-04-16T18:59:35Z,totals,Over,1.57,2.5,0.636943
1a0c97efadd5fc0543a45c00d7a5c4ec,soccer_conmebol_copa_sudamericana,Copa Sudamericana,2026-04-16T22:00:00Z,Clube Atlético Mineiro,CA Juventud,2026-04-16T19:00:16.534715+00:00,main,unibet,Unibet,2026-04-16T18:59:35Z,totals,Under,2.28,2.5,0.438596
1a0c97efadd5fc0543a45c00d7a5c4ec,soccer_conmebol_copa_sudamericana,Copa Sudamericana,2026-04-16T22:00:00Z,Clube Atlético Mineiro,CA Juventud,2026-04-16T19:00:16.534715+00:00,main,casumo,Casumo,2026-04-16T18:59:32Z,h2h,CA Juventud,12.0,,0.083333
1a0c97efadd5fc0543a45c00d7a5c4ec,soccer_conmebol_copa_sudamericana,Copa Sudamericana,2026-04-16T22:00:00Z,Clube Atlético Mineiro,CA Juventud,2026-04-16T19:00:16.534715+00:00,main,casumo,Casumo,2026-04-16T18:59:32Z,h2h,Clube Atlético Mineiro,1.24,,0.806452
1a0c97efadd5fc0543a45c00d7a5c4ec,soccer_conmebol_copa_sudamericana,Copa Sudamericana,2026-04-16T22:00:00Z,Clube Atlético Mineiro,CA Juventud,2026-04-16T19:00:16.534715+00:00,main,casumo,Casumo,2026-04-16T18:59:32Z,h2h,Draw,6.0,,0.166667
1a0c97efadd5fc0543a45c00d7a5c4ec,soccer_conmebol_copa_sudamericana,Copa Sudamericana,2026-04-16T22:00:00Z,Clube Atlético Mineiro,CA Juventud,2026-04-16T19:00:16.534715+00:00,main,casumo,Casumo,2026-04-16T18:59:32Z,totals,Over,1.56,2.5,0.641026
1a0c97efadd5fc0543a45c00d7a5c4ec,soccer_conmebol_copa_sudamericana,Copa Sudamericana,2026-04-16T22:00:00Z,Clube Atlético Mineiro,CA Juventud,2026-04-16T19:00:16.534715+00:00,main,casumo,Casumo,2026-04-16T18:59:32Z,totals,Under,2.28,2.5,0.438596
