event_id,sport_key,sport_title,commence_time,home_team,away_team,snapshot_time,market_type,bookmaker_key,bookmaker_title,last_update,market,outcome_name,price,point,implied_prob
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,sportsbet,SportsBet,2026-04-16T19:00:18Z,h2h,Mexico,1.5,,0.666667
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,sportsbet,SportsBet,2026-04-16T19:00:18Z,h2h,South Africa,6.5,,0.153846
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,sportsbet,SportsBet,2026-04-16T19:00:18Z,h2h,Draw,4.2,,0.238095
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,betmgm,BetMGM,2026-04-16T18:59:50Z,h2h,Mexico,1.48,,0.675676
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,betmgm,BetMGM,2026-04-16T18:59:50Z,h2h,South Africa,5.5,,0.181818
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,betmgm,BetMGM,2026-04-16T18:59:50Z,h2h,Draw,3.9,,0.25641
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,betmgm,BetMGM,2026-04-16T18:59:50Z,totals,Over,1.87,2.5,0.534759
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,betmgm,BetMGM,2026-04-16T18:59:50Z,totals,Under,1.83,2.5,0.546448
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,fanduel,FanDuel,2026-04-16T18:57:25Z,h2h,Mexico,1.53,,0.653595
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,fanduel,FanDuel,2026-04-16T18:57:25Z,h2h,South Africa,6.5,,0.153846
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,fanduel,FanDuel,2026-04-16T18:57:25Z,h2h,Draw,4.2,,0.238095
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,paddypower,Paddy Power,2026-04-16T18:58:26Z,h2h,Mexico,1.5,,0.666667
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,paddypower,Paddy Power,2026-04-16T18:58:26Z,h2h,South Africa,6.0,,0.166667
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,paddypower,Paddy Power,2026-04-16T18:58:26Z,h2h,Draw,4.2,,0.238095
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,skybet,Sky Bet,2026-04-16T19:00:02Z,h2h,Mexico,1.5,,0.666667
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,skybet,Sky Bet,2026-04-16T19:00:02Z,h2h,South Africa,6.0,,0.166667
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,skybet,Sky Bet,2026-04-16T19:00:02Z,h2h,Draw,4.0,,0.25
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,marathonbet,Marathon Bet,2026-04-16T19:00:19Z,h2h,Mexico,1.55,,0.645161
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,marathonbet,Marathon Bet,2026-04-16T19:00:19Z,h2h,South Africa,6.5,,0.153846
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,marathonbet,Marathon Bet,2026-04-16T19:00:19Z,h2h,Draw,4.3,,0.232558
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,pinnacle,Pinnacle,2026-04-16T18:59:48Z,h2h,Mexico,1.52,,0.657895
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,pinnacle,Pinnacle,2026-04-16T18:59:48Z,h2h,South Africa,6.04,,0.165563
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,pinnacle,Pinnacle,2026-04-16T18:59:48Z,h2h,Draw,4.11,,0.243309
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,pinnacle,Pinnacle,2026-04-16T18:59:48Z,spreads,Mexico,1.91,-1.0,0.52356
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,pinnacle,Pinnacle,2026-04-16T18:59:48Z,spreads,South Africa,1.91,1.0,0.52356
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,pinnacle,Pinnacle,2026-04-16T18:59:48Z,totals,Over,1.93,2.5,0.518135
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,pinnacle,Pinnacle,2026-04-16T18:59:48Z,totals,Under,1.88,2.5,0.531915
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,grosvenor,Grosvenor,2026-04-16T18:59:37Z,h2h,Mexico,1.47,,0.680272
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,grosvenor,Grosvenor,2026-04-16T18:59:37Z,h2h,South Africa,6.25,,0.16
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,grosvenor,Grosvenor,2026-04-16T18:59:37Z,h2h,Draw,4.3,,0.232558
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,grosvenor,Grosvenor,2026-04-16T18:59:37Z,totals,Over,1.87,2.5,0.534759
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,grosvenor,Grosvenor,2026-04-16T18:59:37Z,totals,Under,1.87,2.5,0.534759
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,betfair_ex_au,Betfair,2026-04-16T18:59:52Z,h2h,Mexico,1.54,,0.649351
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,betfair_ex_au,Betfair,2026-04-16T18:59:52Z,h2h,South Africa,6.0,,0.166667
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,betfair_ex_au,Betfair,2026-04-16T18:59:52Z,h2h,Draw,4.5,,0.222222
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,betfair_ex_au,Betfair,2026-04-16T18:59:52Z,h2h_lay,Mexico,1.59,,0.628931
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,betfair_ex_au,Betfair,2026-04-16T18:59:52Z,h2h_lay,South Africa,7.6,,0.131579
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,betfair_ex_au,Betfair,2026-04-16T18:59:52Z,h2h_lay,Draw,5.5,,0.181818
80d82d1113934bfbea4ce8daf37a2433,soccer_fifa_world_cup,FIFA World Cup,2026-06-11T19:00:00Z,Mexico,South Africa,2026-04-16T19:00:27.070507+00:00,main,betfair_ex_uk,Betfair,2026-04-16T19:00:19Z,h2h,Mexico,1.54,,0.649351
