event_id,sport_key,home_team,away_team,commence_time,completed,last_update,score_name,score_value
a17893791f7a24ee56339cc3d0d4987c,soccer_germany_liga3,Jahn Regensburg,Alemannia Aachen,2026-04-17T17:00:00Z,False,,,
8e8e888958eaf2b502d56afb33dba311,soccer_germany_liga3,1. FC Saarbrücken,TSV 1860 München,2026-04-18T12:00:00Z,False,,,
c07039b1a8f05b2fc9f8fc2c42d0a21a,soccer_germany_liga3,FC Ingolstadt 04,VfL Osnabrück,2026-04-18T12:00:00Z,False,,,
01ab85ab77b314f7e3b6d49225819cad,soccer_germany_liga3,SC Verl,FC Viktoria Köln 1904,2026-04-18T12:00:00Z,False,,,
b941032f49ac7160545ce88edbd7bb28,soccer_germany_liga3,Schweinfurt,Hansa Rostock,2026-04-18T12:00:00Z,False,,,
a60bbd78479a8a8eda9b2375911d893a,soccer_germany_liga3,MSV Duisburg,TSG Hoffenheim II,2026-04-18T12:00:00Z,False,,,
06909fade724175d59b43dcf066bc683,soccer_germany_liga3,SSV Ulm 1846,TSV Havelse,2026-04-18T14:30:00Z,False,,,
83843c5e1086c1b53e3b617af094f281,soccer_germany_liga3,FC Energie Cottbus,Rot-Weiss Essen,2026-04-19T11:30:00Z,False,,,
63f4c27be53bbc4a9bdf580db22ee75d,soccer_germany_liga3,VfB Stuttgart II,Erzgebirge Aue,2026-04-19T14:30:00Z,False,,,
515d96a046668257c58f7a53244c4b0e,soccer_germany_liga3,Wehen Wiesbaden,Waldhof Mannheim,2026-04-19T17:30:00Z,False,,,
743f066804fdd7f5332daaf50d2287d8,soccer_germany_liga3,Alemannia Aachen,MSV Duisburg,2026-04-24T17:00:00Z,False,,,
2c1187c31ba503490c7cd720efd42a7c,soccer_germany_liga3,Erzgebirge Aue,Wehen Wiesbaden,2026-04-25T12:00:00Z,False,,,
abf91bb5c93d8ff9a8c552022f49b4fc,soccer_germany_liga3,TSG Hoffenheim II,FC Ingolstadt 04,2026-04-25T12:00:00Z,False,,,
bb26db6e5414ff5fddbf2e3662344d4a,soccer_germany_liga3,Hansa Rostock,Jahn Regensburg,2026-04-25T12:00:00Z,False,,,
8b2d00ec53bb16572a3baac534edce31,soccer_germany_liga3,VfL Osnabrück,SC Verl,2026-04-25T12:00:00Z,False,,,
72984e2801bfe8be2b7a92069c51c814,soccer_germany_liga3,TSV 1860 München,SSV Ulm 1846,2026-04-25T12:00:00Z,False,,,
ee2a6ee04458bef9fa3ce8d943645fcc,soccer_germany_liga3,Waldhof Mannheim,Schweinfurt,2026-04-25T14:30:00Z,False,,,
f5e775e670637e25822e342e3fea3341,soccer_germany_liga3,FC Viktoria Köln 1904,FC Energie Cottbus,2026-04-26T11:30:00Z,False,,,
1bc47e620e487b763944dbc2c9bade05,soccer_germany_liga3,Rot-Weiss Essen,1. FC Saarbrücken,2026-04-26T14:30:00Z,False,,,
07f064643604b03c72b3c3567f6e1d01,soccer_germany_liga3,TSV Havelse,VfB Stuttgart II,2026-04-26T17:30:00Z,False,,,
