event_id,sport_key,sport_title,commence_time,home_team,away_team,snapshot_time,market_type,bookmaker_key,bookmaker_title,last_update,market,outcome_name,price,point,implied_prob
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,pinnacle,Pinnacle,2026-04-16T19:00:18Z,h2h,Como,1.67,,0.598802
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,pinnacle,Pinnacle,2026-04-16T19:00:18Z,h2h,Sassuolo,4.86,,0.205761
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,pinnacle,Pinnacle,2026-04-16T19:00:18Z,h2h,Draw,4.3,,0.232558
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,pinnacle,Pinnacle,2026-04-16T19:00:18Z,spreads,Como,1.85,-0.75,0.540541
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,pinnacle,Pinnacle,2026-04-16T19:00:18Z,spreads,Sassuolo,2.06,0.75,0.485437
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,pinnacle,Pinnacle,2026-04-16T19:00:18Z,totals,Over,2.01,2.75,0.497512
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,pinnacle,Pinnacle,2026-04-16T19:00:18Z,totals,Under,1.88,2.75,0.531915
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,betsson,Betsson,2026-04-16T19:00:03Z,h2h,Como,1.65,,0.606061
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,betsson,Betsson,2026-04-16T19:00:03Z,h2h,Sassuolo,4.95,,0.20202
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,betsson,Betsson,2026-04-16T19:00:03Z,h2h,Draw,4.15,,0.240964
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,betsson,Betsson,2026-04-16T19:00:03Z,totals,Over,1.75,2.5,0.571429
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,betsson,Betsson,2026-04-16T19:00:03Z,totals,Under,2.02,2.5,0.49505
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,nordicbet,Nordic Bet,2026-04-16T19:00:21Z,h2h,Como,1.65,,0.606061
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,nordicbet,Nordic Bet,2026-04-16T19:00:21Z,h2h,Sassuolo,4.95,,0.20202
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,nordicbet,Nordic Bet,2026-04-16T19:00:21Z,h2h,Draw,4.15,,0.240964
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,nordicbet,Nordic Bet,2026-04-16T19:00:21Z,totals,Over,1.75,2.5,0.571429
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,nordicbet,Nordic Bet,2026-04-16T19:00:21Z,totals,Under,2.02,2.5,0.49505
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,betr_au,Betr,2026-04-16T18:59:38Z,h2h,Como,1.68,,0.595238
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,betr_au,Betr,2026-04-16T18:59:38Z,h2h,Sassuolo,4.7,,0.212766
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,betr_au,Betr,2026-04-16T18:59:38Z,h2h,Draw,3.8,,0.263158
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,unibet_fr,Unibet (FR),2026-04-16T19:00:03Z,h2h,Como,1.62,,0.617284
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,unibet_fr,Unibet (FR),2026-04-16T19:00:03Z,h2h,Sassuolo,4.9,,0.204082
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,unibet_fr,Unibet (FR),2026-04-16T19:00:03Z,h2h,Draw,4.0,,0.25
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,sportsbet,SportsBet,2026-04-16T18:59:27Z,h2h,Como,1.65,,0.606061
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,sportsbet,SportsBet,2026-04-16T18:59:27Z,h2h,Sassuolo,5.0,,0.2
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,sportsbet,SportsBet,2026-04-16T18:59:27Z,h2h,Draw,4.0,,0.25
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,smarkets,Smarkets,2026-04-16T19:00:08Z,h2h,Como,1.68,,0.595238
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,smarkets,Smarkets,2026-04-16T19:00:08Z,h2h,Sassuolo,5.4,,0.185185
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,smarkets,Smarkets,2026-04-16T19:00:08Z,h2h,Draw,4.2,,0.238095
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,smarkets,Smarkets,2026-04-16T19:00:08Z,h2h_lay,Como,1.71,,0.584795
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,smarkets,Smarkets,2026-04-16T19:00:08Z,h2h_lay,Sassuolo,5.7,,0.175439
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,smarkets,Smarkets,2026-04-16T19:00:08Z,h2h_lay,Draw,4.4,,0.227273
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,fanduel,FanDuel,2026-04-16T19:00:18Z,h2h,Como,1.65,,0.606061
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,fanduel,FanDuel,2026-04-16T19:00:18Z,h2h,Sassuolo,5.1,,0.196078
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,fanduel,FanDuel,2026-04-16T19:00:18Z,h2h,Draw,4.0,,0.25
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,paddypower,Paddy Power,2026-04-16T18:59:37Z,h2h,Como,1.62,,0.617284
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,paddypower,Paddy Power,2026-04-16T18:59:37Z,h2h,Sassuolo,5.0,,0.2
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,paddypower,Paddy Power,2026-04-16T18:59:37Z,h2h,Draw,4.0,,0.25
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,skybet,Sky Bet,2026-04-16T18:59:17Z,h2h,Como,1.62,,0.617284
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,skybet,Sky Bet,2026-04-16T18:59:17Z,h2h,Sassuolo,5.0,,0.2
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,skybet,Sky Bet,2026-04-16T18:59:17Z,h2h,Draw,4.0,,0.25
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,codere_it,Codere (IT),2026-04-16T18:59:28Z,h2h,Como,1.67,,0.598802
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,codere_it,Codere (IT),2026-04-16T18:59:28Z,h2h,Sassuolo,4.9,,0.204082
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,codere_it,Codere (IT),2026-04-16T18:59:28Z,h2h,Draw,4.0,,0.25
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,codere_it,Codere (IT),2026-04-16T18:59:28Z,totals,Over,1.7,2.5,0.588235
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,codere_it,Codere (IT),2026-04-16T18:59:28Z,totals,Under,1.99,2.5,0.502513
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,onexbet,1xBet,2026-04-16T18:59:51Z,h2h,Como,1.69,,0.591716
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,onexbet,1xBet,2026-04-16T18:59:51Z,h2h,Sassuolo,5.18,,0.19305
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,onexbet,1xBet,2026-04-16T18:59:51Z,h2h,Draw,4.32,,0.231481
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,onexbet,1xBet,2026-04-16T18:59:51Z,spreads,Como,2.7,-1.5,0.37037
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,onexbet,1xBet,2026-04-16T18:59:51Z,spreads,Sassuolo,1.43,1.5,0.699301
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,onexbet,1xBet,2026-04-16T18:59:51Z,totals,Over,1.83,2.5,0.546448
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,onexbet,1xBet,2026-04-16T18:59:51Z,totals,Under,2.14,2.5,0.46729
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,betway,Betway,2026-04-16T18:59:38Z,h2h,Como,1.7,,0.588235
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,betway,Betway,2026-04-16T18:59:38Z,h2h,Sassuolo,4.5,,0.222222
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,betway,Betway,2026-04-16T18:59:38Z,h2h,Draw,4.0,,0.25
a2d714226e359e11994632f530a047e8,soccer_italy_serie_a,Serie A - Italy,2026-04-17T16:30:00Z,Sassuolo,Como,2026-04-16T19:00:30.511736+00:00,main,fanatics,Fanatics,2026-04-16T19:00:19Z,h2h,Como,1.67,,0.598802
