event_id,sport_key,sport_title,home_team,away_team,commence_time,snapshot_time
ff17687e8f9da42d60c4dcdf7d84ff9a,soccer_korea_kleague1,K League 1,FC Seoul,Daejeon Citizen,2026-04-18T05:00:00Z,2026-04-16T19:00:27.463452+00:00
d4b46348b75817c6558a6f6ccab36847,soccer_korea_kleague1,K League 1,Gangwon FC,Jeonbuk Hyundai Motors,2026-04-18T05:00:00Z,2026-04-16T19:00:27.463452+00:00
0fbd93a2c75bb85b1567928f2ac42f45,soccer_korea_kleague1,K League 1,Jeju United FC,Sangju Sangmu FC,2026-04-18T07:30:00Z,2026-04-16T19:00:27.463452+00:00
4ff704f3a79f2d3fcec37721f5ff5f94,soccer_korea_kleague1,K League 1,Ulsan Hyundai FC,Gwangju FC,2026-04-19T05:00:00Z,2026-04-16T19:00:27.463452+00:00
2f88b1a85b9d3d729cf0fb8c163bc8ed,soccer_korea_kleague1,K League 1,Pohang Steelers,FC Anyang,2026-04-19T07:30:00Z,2026-04-16T19:00:27.463452+00:00
c9a5f8d46f0930a2c99dcde6b7eff339,soccer_korea_kleague1,K League 1,Sangju Sangmu FC,Gangwon FC,2026-04-21T10:30:00Z,2026-04-16T19:00:27.463452+00:00
ff073da3d37b42d30047fa55f741f3b6,soccer_korea_kleague1,K League 1,Jeonbuk Hyundai Motors,Incheon United,2026-04-21T10:30:00Z,2026-04-16T19:00:27.463452+00:00
abf71299bff68175b8a7854899ca5d0e,soccer_korea_kleague1,K League 1,Daejeon Citizen,Jeju United FC,2026-04-22T10:30:00Z,2026-04-16T19:00:27.463452+00:00
a284857997882280fdee91223ebc91f8,soccer_korea_kleague1,K League 1,FC Anyang,Ulsan Hyundai FC,2026-04-22T10:30:00Z,2026-04-16T19:00:27.463452+00:00
ba5143012e2b6865688db7ed8661c27c,soccer_korea_kleague1,K League 1,Pohang Steelers,Gwangju FC,2026-04-22T10:30:00Z,2026-04-16T19:00:27.463452+00:00
