event_id,sport_key,sport_title,commence_time,home_team,away_team,snapshot_time,market_type,bookmaker_key,bookmaker_title,last_update,market,outcome_name,price,point,implied_prob
ff17687e8f9da42d60c4dcdf7d84ff9a,soccer_korea_kleague1,K League 1,2026-04-18T05:00:00Z,FC Seoul,Daejeon Citizen,2026-04-16T19:00:36.035706+00:00,main,unibet,Unibet,2026-04-16T19:00:23Z,h2h,Daejeon Citizen,3.85,,0.25974
ff17687e8f9da42d60c4dcdf7d84ff9a,soccer_korea_kleague1,K League 1,2026-04-18T05:00:00Z,FC Seoul,Daejeon Citizen,2026-04-16T19:00:36.035706+00:00,main,unibet,Unibet,2026-04-16T19:00:23Z,h2h,FC Seoul,1.82,,0.549451
ff17687e8f9da42d60c4dcdf7d84ff9a,soccer_korea_kleague1,K League 1,2026-04-18T05:00:00Z,FC Seoul,Daejeon Citizen,2026-04-16T19:00:36.035706+00:00,main,unibet,Unibet,2026-04-16T19:00:23Z,h2h,Draw,3.3,,0.30303
ff17687e8f9da42d60c4dcdf7d84ff9a,soccer_korea_kleague1,K League 1,2026-04-18T05:00:00Z,FC Seoul,Daejeon Citizen,2026-04-16T19:00:36.035706+00:00,main,unibet,Unibet,2026-04-16T19:00:23Z,totals,Over,1.84,2.5,0.543478
ff17687e8f9da42d60c4dcdf7d84ff9a,soccer_korea_kleague1,K League 1,2026-04-18T05:00:00Z,FC Seoul,Daejeon Citizen,2026-04-16T19:00:36.035706+00:00,main,unibet,Unibet,2026-04-16T19:00:23Z,totals,Under,1.8,2.5,0.555556
ff17687e8f9da42d60c4dcdf7d84ff9a,soccer_korea_kleague1,K League 1,2026-04-18T05:00:00Z,FC Seoul,Daejeon Citizen,2026-04-16T19:00:36.035706+00:00,main,grosvenor,Grosvenor,2026-04-16T18:59:19Z,h2h,Daejeon Citizen,3.85,,0.25974
ff17687e8f9da42d60c4dcdf7d84ff9a,soccer_korea_kleague1,K League 1,2026-04-18T05:00:00Z,FC Seoul,Daejeon Citizen,2026-04-16T19:00:36.035706+00:00,main,grosvenor,Grosvenor,2026-04-16T18:59:19Z,h2h,FC Seoul,1.82,,0.549451
ff17687e8f9da42d60c4dcdf7d84ff9a,soccer_korea_kleague1,K League 1,2026-04-18T05:00:00Z,FC Seoul,Daejeon Citizen,2026-04-16T19:00:36.035706+00:00,main,grosvenor,Grosvenor,2026-04-16T18:59:19Z,h2h,Draw,3.3,,0.30303
ff17687e8f9da42d60c4dcdf7d84ff9a,soccer_korea_kleague1,K League 1,2026-04-18T05:00:00Z,FC Seoul,Daejeon Citizen,2026-04-16T19:00:36.035706+00:00,main,grosvenor,Grosvenor,2026-04-16T18:59:19Z,totals,Over,1.83,2.5,0.546448
ff17687e8f9da42d60c4dcdf7d84ff9a,soccer_korea_kleague1,K League 1,2026-04-18T05:00:00Z,FC Seoul,Daejeon Citizen,2026-04-16T19:00:36.035706+00:00,main,grosvenor,Grosvenor,2026-04-16T18:59:19Z,totals,Under,1.8,2.5,0.555556
ff17687e8f9da42d60c4dcdf7d84ff9a,soccer_korea_kleague1,K League 1,2026-04-18T05:00:00Z,FC Seoul,Daejeon Citizen,2026-04-16T19:00:36.035706+00:00,main,betrivers,BetRivers,2026-04-16T18:58:54Z,h2h,Daejeon Citizen,3.85,,0.25974
ff17687e8f9da42d60c4dcdf7d84ff9a,soccer_korea_kleague1,K League 1,2026-04-18T05:00:00Z,FC Seoul,Daejeon Citizen,2026-04-16T19:00:36.035706+00:00,main,betrivers,BetRivers,2026-04-16T18:58:54Z,h2h,FC Seoul,1.81,,0.552486
ff17687e8f9da42d60c4dcdf7d84ff9a,soccer_korea_kleague1,K League 1,2026-04-18T05:00:00Z,FC Seoul,Daejeon Citizen,2026-04-16T19:00:36.035706+00:00,main,betrivers,BetRivers,2026-04-16T18:58:54Z,h2h,Draw,3.25,,0.307692
ff17687e8f9da42d60c4dcdf7d84ff9a,soccer_korea_kleague1,K League 1,2026-04-18T05:00:00Z,FC Seoul,Daejeon Citizen,2026-04-16T19:00:36.035706+00:00,main,betrivers,BetRivers,2026-04-16T18:58:54Z,totals,Over,1.85,2.5,0.540541
ff17687e8f9da42d60c4dcdf7d84ff9a,soccer_korea_kleague1,K League 1,2026-04-18T05:00:00Z,FC Seoul,Daejeon Citizen,2026-04-16T19:00:36.035706+00:00,main,betrivers,BetRivers,2026-04-16T18:58:54Z,totals,Under,1.81,2.5,0.552486
ff17687e8f9da42d60c4dcdf7d84ff9a,soccer_korea_kleague1,K League 1,2026-04-18T05:00:00Z,FC Seoul,Daejeon Citizen,2026-04-16T19:00:36.035706+00:00,main,leovegas_se,LeoVegas (SE),2026-04-16T19:00:21Z,h2h,Daejeon Citizen,3.9,,0.25641
ff17687e8f9da42d60c4dcdf7d84ff9a,soccer_korea_kleague1,K League 1,2026-04-18T05:00:00Z,FC Seoul,Daejeon Citizen,2026-04-16T19:00:36.035706+00:00,main,leovegas_se,LeoVegas (SE),2026-04-16T19:00:21Z,h2h,FC Seoul,1.83,,0.546448
ff17687e8f9da42d60c4dcdf7d84ff9a,soccer_korea_kleague1,K League 1,2026-04-18T05:00:00Z,FC Seoul,Daejeon Citizen,2026-04-16T19:00:36.035706+00:00,main,leovegas_se,LeoVegas (SE),2026-04-16T19:00:21Z,h2h,Draw,3.35,,0.298507
